year,abq_fatal_shootings,abq_rate_per_1m_const_2024_pop,apd_involved_fatal_shootings_in_abq,non_apd_fatal_shootings_in_abq,gun_involved_count,unarmed_count,mental_illness_related_count,body_camera_count
2015,5,8.923376748535675,3,2,4,0,0,3
2016,6,10.708052098242808,4,2,6,0,2,2
2017,8,14.277402797657079,2,6,3,2,0,1
2018,9,16.062078147364215,7,2,7,1,2,0
2019,5,8.923376748535675,4,1,3,0,1,0
2020,6,10.708052098242808,5,1,5,0,1,0
2021,6,10.708052098242808,2,4,4,1,1,4
2022,14,24.98545489589989,10,4,7,1,5,2
2023,9,16.062078147364215,6,3,4,0,3,2
2024,9,16.062078147364215,8,1,7,1,0,1
