agency_id,agency_name,agency_type,agency_state_abbr,agency_state_fips,agency_state_name,ori_codes,ori_code_count,agency_total_shootings_original
3145,Abbeville County Sheriff's Office,sheriff,SC,45,South Carolina,SC00100,1,1
2576,Aberdeen Police Department,local_police,WA,53,Washington,WA01401,1,1
2114,Abilene Police Department,local_police,TX,48,Texas,TX22101,1,8
2088,Abington Township Police Department,local_police,PA,42,Pennsylvania,PA04601,1,1
3187,Acadia Parish Sheriff's Office,sheriff,LA,22,Louisiana,LA00100,1,1
3375,Acworth Police Department,local_police,GA,13,Georgia,GA03305,1,1
1241,Ada County Sheriff's Office,sheriff,ID,16,Idaho,ID00100,1,6
1615,Adair County Sheriff's Office,sheriff,OK,40,Oklahoma,OK00100,1,1
1978,Adams County Sheriff's Department,sheriff,CO,08,Colorado,CO00100,1,16
897,Adams County Sheriff's Department,sheriff,ID,16,Idaho,ID00200,1,1
3706,Adams County Sheriff's Office,sheriff,IL,17,Illinois,IL00100,1,1
3708,Adams County Sheriff's Office,sheriff,MS,28,Mississippi,MS00100,1,1
3194,Adams County Sheriff's Office,sheriff,NE,31,Nebraska,NB00100,1,1
3712,Adams County Sheriff's Office,sheriff,WA,53,Washington,WA00100,1,1
3561,Adams County Sheriff's Office,sheriff,WI,55,Wisconsin,WI00100,1,1
2579,Ada Police Department,local_police,OK,40,Oklahoma,OK06201,1,3
3107,Adel Police Department,local_police,GA,13,Georgia,GA03701,1,1
914,Aiken County Sheriff's Office,sheriff,SC,45,South Carolina,SC00200,1,7
1203,Aitkin County Sheriff's Office,sheriff,MN,27,Minnesota,MN00100,1,1
815,Akron Police Department,local_police,OH,39,Ohio,OH07701,1,10
589,Alabama Law Enforcement Agency,state_police,AL,01,Alabama,,0,4
860,Alabama State Police,state_police,AL,01,Alabama,,0,4
3848,Alabama State Troopers,state_police,AL,01,Alabama,ALAST00,1,2
1180,Alachua County Sheriff's Office,sheriff,FL,12,Florida,FL00100,1,6
2168,Alamance County Sheriff's Office,sheriff,NC,37,North Carolina,NC00100,1,3
806,Alameda County Sheriff's Office,sheriff,CA,06,California,CA00100,1,5
1434,Alamogordo Police Department,local_police,NM,35,New Mexico,NM01901,1,2
3879,Alamosa County Sheriff's Office,sheriff,CO,08,Colorado,CO00200,1,1
2354,Alamosa Police Department,local_police,CO,08,Colorado,CO00201,1,1
775,Alaska State Troopers,state_police,AK,02,Alaska,AKASP00;AKAST01,2,33
3888,Alaska Wildlife Troopers,state_other,AK,02,Alaska,,0,1
958,Albany County Sheriff's Office,sheriff,WY,56,Wyoming,WY00100,1,2
1443,Albany Police Department,local_police,GA,13,Georgia,GA04701,1,2
2237,Albany Police Department,local_police,NY,36,New York,NY00101,1,1
3901,Albany Police Department,local_police,OR,41,Oregon,OR02201,1,1
3551,Albemarle County Police Department,local_police,VA,51,Virginia,VA00203,1,1
2370,Albert Lea Police Department,local_police,MN,27,Minnesota,MN02401,1,1
3452,Albertville Police Department,local_police,AL,01,Alabama,AL05001,1,1
3498,Albion Department of Public Safety,local_police,MI,26,Michigan,MI13207,1,1
508,Albuquerque Police Department,local_police,NM,35,New Mexico,NM00101,1,54
3165,Alcorn County Sheriff's Office,sheriff,MS,28,Mississippi,MS00200,1,2
3949,Alexander County Sheriff's Office,sheriff,NC,37,North Carolina,NC00200,1,1
793,Alexandria Police Department,local_police,LA,22,Louisiana,LA04001,1,3
2924,Alexandria Police Department,local_police,VA,51,Virginia,VA09900,1,3
1754,Alhambra Police Department,local_police,CA,06,California,CA01901,1,1
