state_abbr,state_name,region,division,year,population,prior_2024_count,prior_3yr_avg_count,prior_3yr_avg_rate_per_1m,forecast_ridge_enhanced_lagged,forecast_rate_per_1m_ridge_enhanced_lagged,forecast_poisson_enhanced_lagged,forecast_rate_per_1m_poisson_enhanced_lagged,forecast_random_forest_enhanced_lagged,forecast_rate_per_1m_random_forest_enhanced_lagged,forecast_lag1_baseline,forecast_rate_per_1m_lag1_baseline,forecast_roll3_baseline,forecast_rate_per_1m_roll3_baseline,forecast_prev_national_rate_baseline,forecast_rate_per_1m_prev_national_rate_baseline,forecast_ensemble_top4_holdout_mae,forecast_rate_per_1m_ensemble_top4_holdout_mae
AK,Alaska,West,Pacific,2025,737270,8.0,6.333333,8.614635,4.223524,5.728599,4.603226,6.24361,8.441869,11.450173,8.0,10.850842,6.333333,8.59025,2.54789,3.455844,6.749682,9.154966
AL,Alabama,South,East South Central,2025,5193088,21.0,23.333333,4.557746,22.635614,4.358797,17.964926,3.459392,24.480754,4.714103,21.0,4.043837,23.333333,4.493152,17.946501,3.455844,22.862425,4.402472
AR,Arkansas,South,West South Central,2025,3114791,17.0,15.333333,4.991956,18.38193,5.901497,11.487513,3.688053,16.987845,5.453928,17.0,5.45783,15.333333,4.922749,10.764231,3.455844,16.925777,5.434001
AZ,Arizona,West,Mountain,2025,7623818,48.0,49.333333,6.616313,46.943467,6.157475,37.045226,4.859144,43.837105,5.75002,48.0,6.296058,49.333333,6.470948,26.346724,3.455844,47.028476,6.168625
CA,California,West,Pacific,2025,39355309,111.0,125.666667,3.20447,122.789566,3.120025,109.742064,2.788495,99.495258,2.528128,111.0,2.820458,125.666667,3.193131,136.005799,3.455844,114.737873,2.915436
CO,Colorado,West,Mountain,2025,6012561,38.0,39.666667,6.704649,39.085496,6.50064,32.987568,5.486442,37.988699,6.318223,38.0,6.320102,39.666667,6.5973,20.778471,3.455844,38.685216,6.434066
CT,Connecticut,Northeast,New England,2025,3688496,3.0,3.333333,0.913508,2.819408,0.764379,3.273503,0.88749,6.795659,1.842393,3.0,0.81334,3.333333,0.903711,12.746866,3.455844,3.9871,1.080956
DC,District of Columbia,South,South Atlantic,2025,693645,2.0,3.0,4.400363,0.0,0.0,4.966076,7.159392,4.116148,5.934085,2.0,2.883319,3.0,4.324979,2.397129,3.455844,2.279037,3.285596
DE,Delaware,South,South Atlantic,2025,1059952,2.0,2.0,1.932164,13.885291,13.099925,7.484672,7.061331,3.599512,3.39592,2.0,1.886878,2.0,1.886878,3.663029,3.455844,5.371201,5.0674
FL,Florida,South,South Atlantic,2025,23462518,81.0,74.666667,3.260078,77.686938,3.311108,71.290152,3.03847,80.331039,3.423803,81.0,3.452315,74.666667,3.182381,81.082796,3.455844,78.421161,3.342402
GA,Georgia,South,South Atlantic,2025,11302748,38.0,45.333333,4.10119,48.754393,4.313499,39.873058,3.527731,50.182314,4.439833,38.0,3.362014,45.333333,4.010824,39.060531,3.455844,45.56751,4.031543
HI,Hawaii,West,Pacific,2025,1432820,4.0,3.333333,2.322035,0.0,0.0,6.576474,4.589882,6.347404,4.430008,4.0,2.791697,3.333333,2.326415,4.951602,3.455844,3.420184,2.38703
IA,Iowa,Midwest,West North Central,2025,3238387,9.0,6.333333,1.968049,8.707914,2.688966,10.566857,3.263,8.25203,2.548191,9.0,2.779161,6.333333,1.955706,11.19136,3.455844,8.073319,2.493006
ID,Idaho,West,Mountain,2025,2029733,11.0,10.666667,5.401726,12.374615,6.096672,10.428517,5.137876,12.7616,6.287329,11.0,5.419432,10.666667,5.255207,7.01444,3.455844,11.70072,5.76466
IL,Illinois,Midwest,East North Central,2025,12719141,23.0,24.0,1.897597,29.180297,2.294203,20.782708,1.633971,25.998576,2.044051,23.0,1.808298,24.0,1.88692,43.955364,3.455844,25.544718,2.008368
IN,Indiana,Midwest,East North Central,2025,6973333,32.0,27.333333,3.964944,18.263638,2.619069,13.624587,1.953813,28.628654,4.105448,32.0,4.58891,27.333333,3.919694,24.098749,3.455844,26.556406,3.80828
KS,Kansas,Midwest,West North Central,2025,2977220,13.0,11.333333,3.839861,10.896672,3.660016,8.354194,2.806039,12.420948,4.171995,13.0,4.36649,11.333333,3.806683,10.288807,3.455844,11.912738,4.001296
KY,Kentucky,South,East South Central,2025,4606864,17.0,17.0,3.734484,18.333718,3.979652,11.800055,2.561407,17.121897,3.716606,17.0,3.690146,17.0,3.690146,15.920602,3.455844,17.363904,3.769137
LA,Louisiana,South,West South Central,2025,4618189,20.0,19.666667,4.270808,27.787611,6.016993,27.698399,5.997675,20.996246,4.546424,20.0,4.330702,19.666667,4.258524,15.95974,3.455844,22.112631,4.788161
MA,Massachusetts,Northeast,New England,2025,7154084,2.0,4.0,0.566244,6.874489,0.960918,6.158438,0.860828,7.550684,1.055437,2.0,0.279561,4.0,0.559121,24.723397,3.455844,5.106293,0.713759
MD,Maryland,South,South Atlantic,2025,6265347,11.0,9.666667,1.556151,5.809398,0.927227,8.05702,1.285966,11.618605,1.854423,11.0,1.755689,9.666667,1.542878,21.65206,3.455844,9.523667,1.520054
ME,Maine,Northeast,New England,2025,1414874,10.0,6.666667,4.753148,2.27668,1.609104,4.589039,3.243426,8.205235,5.799269,10.0,7.067767,6.666667,4.711845,4.889583,3.455844,6.787145,4.796996
