model,feature,importance_value,importance_type
ridge_enhanced_lagged,unique_agencies_roll3_avg,3.489453,standardized_coefficient
ridge_enhanced_lagged,fatal_shootings_lag2,3.06216,standardized_coefficient
ridge_enhanced_lagged,fatal_shootings_roll3_avg,2.979947,standardized_coefficient
ridge_enhanced_lagged,fatal_shootings_lag1,2.879891,standardized_coefficient
ridge_enhanced_lagged,fatal_shootings_lag3,2.84897,standardized_coefficient
ridge_enhanced_lagged,prev_national_rate_expected_count,2.750757,standardized_coefficient
ridge_enhanced_lagged,population,2.707238,standardized_coefficient
ridge_enhanced_lagged,unique_agencies_lag1,1.971171,standardized_coefficient
ridge_enhanced_lagged,division_Middle_Atlantic,-1.449556,standardized_coefficient
ridge_enhanced_lagged,fatal_shootings_roll3_sd,-1.409035,standardized_coefficient
ridge_enhanced_lagged,log_population,1.243471,standardized_coefficient
ridge_enhanced_lagged,division_West_South_Central,1.027498,standardized_coefficient
ridge_enhanced_lagged,race_N_share_roll3_avg,0.990742,standardized_coefficient
ridge_enhanced_lagged,race_H_share_lag1,0.929635,standardized_coefficient
ridge_enhanced_lagged,division_Mountain,0.923702,standardized_coefficient
ridge_enhanced_lagged,region_West,0.799267,standardized_coefficient
ridge_enhanced_lagged,body_camera_share_roll3_avg,-0.752559,standardized_coefficient
ridge_enhanced_lagged,region_Northeast,-0.747896,standardized_coefficient
ridge_enhanced_lagged,division_East_North_Central,-0.708753,standardized_coefficient
ridge_enhanced_lagged,agency_type_local_other_share_roll3_avg,0.651534,standardized_coefficient
ridge_enhanced_lagged,threat_undetermined_share_roll3_avg,-0.61141,standardized_coefficient
ridge_enhanced_lagged,race_N_share_lag1,-0.586095,standardized_coefficient
ridge_enhanced_lagged,agency_type_local_police_share_lag1,-0.584639,standardized_coefficient
ridge_enhanced_lagged,agency_type_state_police_share_roll3_avg,0.580295,standardized_coefficient
ridge_enhanced_lagged,agency_type_sheriff_share_lag1,0.572868,standardized_coefficient
ridge_enhanced_lagged,flee_foot_share_lag1,-0.559741,standardized_coefficient
ridge_enhanced_lagged,threat_shoot_share_roll3_avg,0.52819,standardized_coefficient
ridge_enhanced_lagged,race_H_share_roll3_avg,0.523216,standardized_coefficient
ridge_enhanced_lagged,division_South_Atlantic,-0.518437,standardized_coefficient
ridge_enhanced_lagged,race_O_share_roll3_avg,-0.515218,standardized_coefficient
ridge_enhanced_lagged,threat_threat_share_roll3_avg,-0.513053,standardized_coefficient
ridge_enhanced_lagged,flee_other_share_roll3_avg,0.511733,standardized_coefficient
ridge_enhanced_lagged,agency_type_other_share_lag1,-0.509259,standardized_coefficient
ridge_enhanced_lagged,race_B_share_roll3_avg,-0.4959,standardized_coefficient
ridge_enhanced_lagged,fatal_count_lag1_delta,-0.487607,standardized_coefficient
ridge_enhanced_lagged,male_share_lag1,0.465982,standardized_coefficient
ridge_enhanced_lagged,race_W_share_roll3_avg,-0.461884,standardized_coefficient
ridge_enhanced_lagged,threat_move_share_lag1,-0.444959,standardized_coefficient
ridge_enhanced_lagged,gun_share_lag1,-0.442434,standardized_coefficient
ridge_enhanced_lagged,agency_type_federal_share_lag1,0.415962,standardized_coefficient
random_forest_enhanced_lagged,unique_agencies_roll3_avg,0.110767,feature_importance
random_forest_enhanced_lagged,fatal_shootings_lag2,0.099758,feature_importance
random_forest_enhanced_lagged,prev_national_rate_expected_count,0.092904,feature_importance
random_forest_enhanced_lagged,population,0.090851,feature_importance
random_forest_enhanced_lagged,fatal_shootings_lag3,0.083683,feature_importance
random_forest_enhanced_lagged,fatal_shootings_lag1,0.072028,feature_importance
random_forest_enhanced_lagged,fatal_shootings_roll3_avg,0.063251,feature_importance
random_forest_enhanced_lagged,unique_agencies_lag1,0.057782,feature_importance
random_forest_enhanced_lagged,log_population,0.052573,feature_importance
random_forest_enhanced_lagged,fatal_shootings_roll3_sd,0.051065,feature_importance
random_forest_enhanced_lagged,race_H_share_roll3_avg,0.025231,feature_importance
random_forest_enhanced_lagged,race_H_share_lag1,0.019502,feature_importance
random_forest_enhanced_lagged,agency_type_local_other_share_lag1,0.017624,feature_importance
random_forest_enhanced_lagged,race_O_share_roll3_avg,0.010995,feature_importance
random_forest_enhanced_lagged,agency_type_local_other_share_roll3_avg,0.009764,feature_importance
random_forest_enhanced_lagged,agency_type_sheriff_share_roll3_avg,0.008824,feature_importance
random_forest_enhanced_lagged,fatal_count_lag1_delta,0.008742,feature_importance
random_forest_enhanced_lagged,flee_other_share_lag1,0.007997,feature_importance
random_forest_enhanced_lagged,agency_type_sheriff_share_lag1,0.005888,feature_importance
random_forest_enhanced_lagged,flee_other_share_roll3_avg,0.005486,feature_importance
random_forest_enhanced_lagged,unarmed_share_lag1,0.005203,feature_importance
random_forest_enhanced_lagged,threat_move_share_lag1,0.004132,feature_importance
random_forest_enhanced_lagged,race_B_share_lag1,0.003936,feature_importance
random_forest_enhanced_lagged,division_Mountain,0.003845,feature_importance
random_forest_enhanced_lagged,fatal_rate_per_1m_lag2,0.003814,feature_importance
random_forest_enhanced_lagged,threat_flee_share_roll3_avg,0.003777,feature_importance
random_forest_enhanced_lagged,flee_foot_share_lag1,0.003612,feature_importance
random_forest_enhanced_lagged,male_share_lag1,0.003521,feature_importance
random_forest_enhanced_lagged,threat_undetermined_share_lag1,0.003397,feature_importance
random_forest_enhanced_lagged,threat_shoot_share_roll3_avg,0.00314,feature_importance
random_forest_enhanced_lagged,race_W_share_lag1,0.002886,feature_importance
random_forest_enhanced_lagged,threat_point_share_roll3_avg,0.00276,feature_importance
random_forest_enhanced_lagged,fatal_rate_per_1m_roll3_sd,0.002734,feature_importance
