state_abbr,state_fips,state_name,region,division,year,is_forecast_year,fatal_shootings,population,log_population,population_growth_1yr,fatal_shootings_per_1m,year_index,post_2020,unarmed_share,gun_share,vehicle_share,mental_illness_share,body_camera_share,male_share,median_age,multi_agency_share,avg_agency_count,unique_agencies,race_W_share,race_B_share,race_H_share,race_A_share,race_N_share,race_O_share,threat_shoot_share,threat_threat_share,threat_point_share,threat_attack_share,threat_move_share,threat_flee_share,threat_undetermined_share,flee_not_fleeing_share,flee_car_share,flee_foot_share,flee_other_share,agency_type_local_police_share,agency_type_sheriff_share,agency_type_state_police_share,agency_type_federal_share,agency_type_local_other_share,agency_type_state_other_share,agency_type_other_share,fatal_shootings_lag1,fatal_shootings_lag2,fatal_shootings_lag3,fatal_rate_per_1m_lag1,fatal_rate_per_1m_lag2,fatal_rate_per_1m_lag3,fatal_shootings_roll3_avg,fatal_shootings_roll3_sd,fatal_rate_per_1m_roll3_avg,fatal_rate_per_1m_roll3_sd,fatal_count_lag1_delta,fatal_rate_lag1_delta,prev_national_rate_per_1m,prev_national_rate_expected_count,unarmed_share_lag1,unarmed_share_roll3_avg,gun_share_lag1,gun_share_roll3_avg,vehicle_share_lag1,vehicle_share_roll3_avg,mental_illness_share_lag1,mental_illness_share_roll3_avg,body_camera_share_lag1,body_camera_share_roll3_avg,male_share_lag1,male_share_roll3_avg,median_age_lag1,median_age_roll3_avg,multi_agency_share_lag1,multi_agency_share_roll3_avg,avg_agency_count_lag1,avg_agency_count_roll3_avg,unique_agencies_lag1,unique_agencies_roll3_avg,race_W_share_lag1,race_W_share_roll3_avg,race_B_share_lag1,race_B_share_roll3_avg,race_H_share_lag1,race_H_share_roll3_avg,race_A_share_lag1,race_A_share_roll3_avg,race_N_share_lag1,race_N_share_roll3_avg,race_O_share_lag1,race_O_share_roll3_avg,threat_shoot_share_lag1,threat_shoot_share_roll3_avg,threat_threat_share_lag1,threat_threat_share_roll3_avg,threat_point_share_lag1,threat_point_share_roll3_avg,threat_attack_share_lag1,threat_attack_share_roll3_avg,threat_move_share_lag1,threat_move_share_roll3_avg,threat_flee_share_lag1,threat_flee_share_roll3_avg,threat_undetermined_share_lag1,threat_undetermined_share_roll3_avg,flee_not_fleeing_share_lag1,flee_not_fleeing_share_roll3_avg,flee_car_share_lag1,flee_car_share_roll3_avg,flee_foot_share_lag1,flee_foot_share_roll3_avg,flee_other_share_lag1,flee_other_share_roll3_avg,agency_type_local_police_share_lag1,agency_type_local_police_share_roll3_avg,agency_type_sheriff_share_lag1,agency_type_sheriff_share_roll3_avg,agency_type_state_police_share_lag1,agency_type_state_police_share_roll3_avg,agency_type_federal_share_lag1,agency_type_federal_share_roll3_avg,agency_type_local_other_share_lag1,agency_type_local_other_share_roll3_avg,agency_type_state_other_share_lag1,agency_type_state_other_share_roll3_avg,agency_type_other_share_lag1,agency_type_other_share_roll3_avg,region_Midwest,region_Northeast,region_South,region_West,division_East_North_Central,division_East_South_Central,division_Middle_Atlantic,division_Mountain,division_New_England,division_Pacific,division_South_Atlantic,division_West_North_Central,division_West_South_Central
AK,02,Alaska,West,Pacific,2015,False,4,737498,13.511019,0.0,5.423744,0,0,0.0,0.75,0.0,0.0,0.0,1.0,33.0,0.5,1.5,3,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2016,False,8,741456,13.516371,0.005367,10.789582,1,0,0.0,0.625,0.0,0.375,0.125,0.875,37.0,0.0,1.0,4,0.5,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.423744,0.0,0.0,4.0,0.0,5.423744,0.0,4.0,5.423744,3.103215,2.300898,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,33.0,0.5,0.5,1.5,1.5,3.0,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2017,False,8,739700,13.514,-0.002368,10.815195,2,0,0.125,0.875,0.0,0.25,0.25,1.0,35.5,0.0,1.0,4,0.625,0.25,0.0,0.0,0.125,0.0,0.375,0.0,0.375,0.125,0.0,0.125,0.0,0.0,0.375,0.125,0.125,0.625,0.0,0.375,0.0,0.0,0.0,0.0,8.0,4.0,0.0,10.789582,5.423744,0.0,6.0,2.0,8.106663,2.682919,4.0,5.365838,2.96958,2.196598,0.0,0.0,0.625,0.6875,0.0,0.0,0.375,0.1875,0.125,0.0625,0.875,0.9375,37.0,35.0,0.0,0.25,1.0,1.25,4.0,3.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.375,0.25,0.125,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0625,0.0,0.0,0.75,0.625,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2018,False,7,735139,13.507815,-0.006166,9.522009,3,0,0.142857,0.142857,0.0,0.0,0.142857,1.0,30.0,0.0,1.0,3,0.428571,0.142857,0.0,0.142857,0.285714,0.0,0.142857,0.285714,0.0,0.285714,0.285714,0.0,0.0,0.0,0.0,0.428571,0.0,0.285714,0.0,0.714286,0.0,0.0,0.0,0.0,8.0,8.0,4.0,10.815195,10.789582,5.423744,6.666667,1.885618,9.009507,2.535539,0.0,0.025614,3.027827,2.225874,0.125,0.041667,0.875,0.75,0.0,0.0,0.25,0.208333,0.25,0.125,1.0,0.958333,35.5,35.166667,0.0,0.166667,1.0,1.166667,4.0,3.666667,0.625,0.541667,0.25,0.083333,0.0,0.0,0.0,0.0,0.125,0.375,0.0,0.0,0.375,0.375,0.0,0.083333,0.375,0.291667,0.125,0.208333,0.0,0.0,0.125,0.041667,0.0,0.0,0.0,0.0,0.375,0.291667,0.125,0.083333,0.125,0.041667,0.625,0.625,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2019,False,7,731545,13.502914,-0.004889,9.568789,4,0,0.0,0.714286,0.0,0.285714,0.0,1.0,31.0,0.0,1.0,4,0.571429,0.142857,0.0,0.142857,0.142857,0.0,0.428571,0.428571,0.142857,0.0,0.0,0.0,0.0,0.0,0.142857,0.285714,0.0,0.714286,0.0,0.285714,0.0,0.0,0.0,0.0,7.0,8.0,8.0,9.522009,10.815195,10.789582,7.666667,0.471405,10.375595,0.603667,-1.0,-1.293187,3.036541,2.221366,0.142857,0.089286,0.142857,0.547619,0.0,0.0,0.0,0.208333,0.142857,0.172619,1.0,0.958333,30.0,34.166667,0.0,0.0,1.0,1.0,3.0,3.666667,0.428571,0.517857,0.142857,0.130952,0.0,0.0,0.142857,0.047619,0.285714,0.303571,0.0,0.0,0.142857,0.255952,0.285714,0.178571,0.0,0.208333,0.285714,0.220238,0.285714,0.095238,0.0,0.041667,0.0,0.0,0.0,0.0,0.0,0.125,0.428571,0.22619,0.0,0.041667,0.285714,0.553571,0.0,0.0,0.714286,0.446429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2020,False,9,732906,13.504773,0.00186,12.279883,5,0,0.222222,0.777778,0.0,0.111111,0.0,0.888889,34.0,0.111111,1.111111,4,0.888889,0.0,0.0,0.111111,0.0,0.0,0.111111,0.0,0.555556,0.111111,0.111111,0.0,0.111111,0.0,0.333333,0.111111,0.0,0.4,0.0,0.4,0.2,0.0,0.0,0.0,7.0,7.0,8.0,9.568789,9.522009,10.815195,7.333333,0.471405,9.968664,0.598892,0.0,0.046781,3.02523,2.217209,0.0,0.089286,0.714286,0.577381,0.0,0.0,0.285714,0.178571,0.0,0.130952,1.0,1.0,31.0,32.166667,0.0,0.0,1.0,1.0,4.0,3.666667,0.571429,0.541667,0.142857,0.178571,0.0,0.0,0.142857,0.095238,0.142857,0.184524,0.0,0.0,0.428571,0.315476,0.428571,0.238095,0.142857,0.172619,0.0,0.136905,0.0,0.095238,0.0,0.041667,0.0,0.0,0.0,0.0,0.142857,0.172619,0.285714,0.279762,0.0,0.041667,0.714286,0.541667,0.0,0.0,0.285714,0.458333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2021,False,7,734590,13.507068,0.002298,9.529125,6,1,0.0,0.714286,0.0,0.0,0.0,1.0,27.0,0.428571,1.428571,4,0.571429,0.0,0.0,0.0,0.285714,0.0,0.285714,0.285714,0.428571,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.3,0.0,0.6,0.0,0.1,0.0,0.0,9.0,7.0,7.0,12.279883,9.568789,9.522009,7.666667,0.942809,10.456894,1.28919,2.0,2.711094,3.079214,2.26196,0.222222,0.121693,0.777778,0.544974,0.0,0.0,0.111111,0.132275,0.0,0.047619,0.888889,0.962963,34.0,31.666667,0.111111,0.037037,1.111111,1.037037,4.0,3.666667,0.888889,0.62963,0.0,0.095238,0.0,0.0,0.111111,0.132275,0.0,0.142857,0.0,0.0,0.111111,0.227513,0.0,0.238095,0.555556,0.232804,0.111111,0.132275,0.111111,0.132275,0.0,0.0,0.111111,0.037037,0.0,0.0,0.333333,0.15873,0.111111,0.275132,0.0,0.0,0.4,0.466667,0.0,0.0,0.4,0.466667,0.2,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2022,False,5,733659,13.5058,-0.001267,6.815155,7,1,0.0,1.0,0.0,0.0,0.0,1.0,35.0,0.4,1.4,4,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.285714,0.0,0.571429,0.142857,0.0,0.0,0.0,7.0,9.0,7.0,9.529125,12.279883,9.568789,7.666667,0.942809,10.459266,1.287473,-2.0,-2.750758,3.161697,2.319607,0.0,0.074074,0.714286,0.73545,0.0,0.0,0.0,0.132275,0.0,0.0,1.0,0.962963,27.0,30.666667,0.428571,0.179894,1.428571,1.179894,4.0,4.0,0.571429,0.677249,0.0,0.047619,0.0,0.0,0.0,0.084656,0.285714,0.142857,0.0,0.0,0.285714,0.275132,0.285714,0.238095,0.428571,0.375661,0.0,0.037037,0.0,0.037037,0.0,0.0,0.0,0.037037,0.0,0.0,0.142857,0.206349,0.0,0.132275,0.0,0.0,0.3,0.471429,0.0,0.0,0.6,0.428571,0.0,0.066667,0.1,0.033333,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2023,False,6,734654,13.507155,0.001356,8.16711,8,1,0.0,1.0,0.0,0.0,0.0,1.0,39.5,0.0,1.0,4,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.5,0.0,0.166667,0.0,0.0,5.0,7.0,9.0,6.815155,9.529125,12.279883,7.0,1.632993,9.541388,2.230983,-2.0,-2.71397,3.284467,2.412947,0.0,0.074074,1.0,0.830688,0.0,0.0,0.0,0.037037,0.0,0.0,1.0,0.962963,35.0,32.0,0.4,0.313228,1.4,1.313228,4.0,4.0,0.2,0.553439,0.0,0.0,0.0,0.0,0.0,0.037037,0.0,0.095238,0.0,0.0,0.4,0.265608,0.4,0.228571,0.2,0.394709,0.0,0.037037,0.0,0.037037,0.0,0.0,0.0,0.037037,0.0,0.0,0.2,0.225397,0.0,0.037037,0.0,0.0,0.285714,0.328571,0.0,0.0,0.571429,0.52381,0.142857,0.114286,0.0,0.033333,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2024,False,8,736537,13.509715,0.002563,10.86164,9,1,0.0,0.375,0.0,0.25,0.625,0.625,32.0,0.125,1.125,4,0.25,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.0,0.25,0.25,0.0,0.125,0.0,0.0,0.125,0.0,0.777778,0.0,0.111111,0.0,0.0,0.111111,0.0,6.0,5.0,7.0,8.16711,6.815155,9.529125,6.0,0.816497,8.170463,1.107976,1.0,1.351955,3.456518,2.545854,0.0,0.0,1.0,0.904762,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39.5,33.833333,0.0,0.27619,1.0,1.27619,4.0,4.0,0.333333,0.368254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095238,0.0,0.0,0.333333,0.339683,0.333333,0.339683,0.333333,0.320635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.169841,0.0,0.0,0.0,0.0,0.333333,0.306349,0.0,0.0,0.5,0.557143,0.0,0.047619,0.166667,0.088889,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AK,02,Alaska,West,Pacific,2025,True,,737270,13.510709,0.000995,0.0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,5.0,10.86164,8.16711,6.815155,6.333333,1.247219,8.614635,1.682007,2.0,2.69453,3.455844,2.54789,0.0,0.0,0.375,0.791667,0.0,0.0,0.25,0.083333,0.625,0.208333,0.625,0.875,32.0,35.5,0.125,0.175,1.125,1.175,4.0,4.0,0.25,0.261111,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.041667,0.125,0.041667,0.125,0.286111,0.25,0.327778,0.0,0.177778,0.25,0.083333,0.25,0.083333,0.0,0.0,0.125,0.041667,0.0,0.0,0.0,0.122222,0.125,0.041667,0.0,0.0,0.777778,0.465608,0.0,0.0,0.111111,0.39418,0.0,0.047619,0.0,0.055556,0.111111,0.037037,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0
AL,01,Alabama,South,East South Central,2015,False,17,4852347,15.394973,0.0,3.503459,0,0,0.058824,0.705882,0.0,0.470588,0.176471,0.941176,40.0,0.176471,1.235294,20,0.647059,0.352941,0.0,0.0,0.0,0.0,0.411765,0.117647,0.294118,0.117647,0.0,0.0,0.058824,0.0,0.176471,0.176471,0.058824,0.52381,0.380952,0.095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0
AL,01,Alabama,South,East South Central,2016,False,24,4863525,15.397274,0.002304,4.934692,1,0,0.0,0.625,0.041667,0.083333,0.333333,0.875,38.0,0.041667,1.041667,22,0.666667,0.25,0.0,0.0,0.0,0.0,0.291667,0.25,0.291667,0.083333,0.041667,0.0,0.041667,0.0,0.25,0.083333,0.083333,0.72,0.28,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,3.503459,0.0,0.0,17.0,0.0,3.503459,0.0,17.0,3.503459,3.103215,15.092566,0.058824,0.058824,0.705882,0.705882,0.0,0.0,0.470588,0.470588,0.176471,0.176471,0.941176,0.941176,40.0,40.0,0.176471,0.176471,1.235294,1.235294,20.0,20.0,0.647059,0.647059,0.352941,0.352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411765,0.411765,0.117647,0.117647,0.294118,0.294118,0.117647,0.117647,0.0,0.0,0.0,0.0,0.058824,0.058824,0.0,0.0,0.176471,0.176471,0.176471,0.176471,0.058824,0.058824,0.52381,0.52381,0.380952,0.380952,0.095238,0.095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0
