city,fatal_shootings,armed_with_gun_count,unarmed_count,mental_illness_related_count,body_camera_count,share_of_nm_total_pct
Albuquerque,77,51,6,15,15,35.15981735159817
Las Cruces,20,12,1,7,7,9.1324200913242
Roswell,11,9,0,1,1,5.0228310502283104
Farmington,10,7,1,0,3,4.5662100456621
Santa Fe,9,6,0,3,3,4.10958904109589
Los Lunas,7,4,2,1,1,3.1963470319634704
Deming,5,4,0,1,0,2.28310502283105
Hobbs,5,5,0,1,1,2.28310502283105
Carlsbad,4,3,0,0,0,1.82648401826484
Alamogordo,4,3,0,0,1,1.82648401826484
Edgewood,3,2,0,1,0,1.36986301369863
Bernalillo,3,3,0,0,0,1.36986301369863
Taos,3,2,0,1,0,1.36986301369863
Ruidoso,3,2,0,0,0,1.36986301369863
Rio Rancho,2,1,0,0,0,0.91324200913242
Shiprock,2,2,0,0,1,0.91324200913242
Artesia,2,2,0,0,0,0.91324200913242
Chaves County,2,1,0,0,0,0.91324200913242
Chaparral,2,1,0,0,1,0.91324200913242
Tucumcari,2,1,0,0,0,0.91324200913242
Sunland Park,2,2,0,0,1,0.91324200913242
Eldorado,1,0,0,0,1,0.45662100456621
Clines Corners,1,1,0,0,0,0.45662100456621
Carrizozo,1,1,0,1,0,0.45662100456621
Bent,1,1,0,0,0,0.45662100456621
Bernalillo County,1,0,0,0,0,0.45662100456621
Doña Ana County,1,1,0,1,0,0.45662100456621
Belen,1,0,1,0,0,0.45662100456621
Angel Fire,1,0,0,0,0,0.45662100456621
Aztec,1,1,0,0,1,0.45662100456621
Laguna,1,1,0,0,0,0.45662100456621
Jal,1,1,0,0,0,0.45662100456621
Hanover,1,1,0,0,0,0.45662100456621
Gallup,1,0,0,1,0,0.45662100456621
Estancia,1,0,0,0,0,0.45662100456621
Fort Sumner,1,1,0,0,0,0.45662100456621
Espanola,1,0,0,0,0,0.45662100456621
Española,1,0,0,0,0,0.45662100456621
Clovis,1,0,0,0,0,0.45662100456621
Crownpoint,1,0,0,0,0,0.45662100456621
Mescalero,1,0,0,0,0,0.45662100456621
Meadowlake,1,1,0,0,0,0.45662100456621
Logan,1,1,0,0,0,0.45662100456621
Lovington,1,1,0,0,0,0.45662100456621
Las Vegas,1,1,0,0,0,0.45662100456621
Laguna Pueblo,1,1,0,0,0,0.45662100456621
Pueblo of Laguna,1,1,0,0,1,0.45662100456621
Raton,1,0,0,0,0,0.45662100456621
Penasco,1,1,0,0,0,0.45662100456621
Prewitt,1,1,0,0,0,0.45662100456621
Naschitti,1,0,0,0,0,0.45662100456621
Moriarty,1,1,0,0,0,0.45662100456621
San Fidel,1,1,0,0,1,0.45662100456621
Rowe,1,1,0,1,0,0.45662100456621
Socorro,1,1,0,0,0,0.45662100456621
San Rafael,1,0,1,0,0,0.45662100456621
Rudioso,1,0,0,0,0,0.45662100456621
Taos Pueblo,1,0,0,0,0,0.45662100456621
Truth or Consequences,1,1,0,0,0,0.45662100456621
Tularosa,1,1,0,0,0,0.45662100456621
Ventana Ranch,1,1,0,0,0,0.45662100456621
,1,0,0,0,0,0.45662100456621
