county,fatal_shootings,armed_with_gun_count,unarmed_count,mental_illness_related_count,body_camera_count,share_of_nm_total_pct
,103,71,4,14,11,47.03196347031963
Bernalillo,44,28,4,7,11,20.091324200913242
Dona Ana,12,6,1,3,7,5.47945205479452
Chaves,8,7,0,1,1,3.65296803652968
Santa Fe,7,4,0,4,3,3.1963470319634704
San Juan,6,4,1,0,3,2.73972602739726
Lincoln,5,3,0,1,0,2.28310502283105
Otero,4,3,0,0,1,1.82648401826484
Lea,4,4,0,1,0,1.82648401826484
Valencia,4,2,2,1,1,1.82648401826484
Taos,3,2,0,1,0,1.36986301369863
Quay,3,2,0,0,0,1.36986301369863
Eddy,3,2,0,0,0,1.36986301369863
McKinley,2,0,0,1,0,0.91324200913242
Cibola,2,2,0,0,1,0.91324200913242
Colfax,1,0,0,0,0,0.45662100456621
Grant,1,1,0,0,0,0.45662100456621
De Baca,1,1,0,0,0,0.45662100456621
Rio Arriba,1,0,0,0,0,0.45662100456621
Luna,1,1,0,0,0,0.45662100456621
Sierra,1,1,0,0,0,0.45662100456621
Sandoval,1,1,0,0,0,0.45662100456621
San Miguel,1,1,0,1,0,0.45662100456621
Socorro,1,1,0,0,0,0.45662100456621
