year,fatal_shootings_nm,population_nm,fatal_shootings_per_1m_nm,unarmed_count_nm,unarmed_per_1m_nm,armed_with_gun_count_nm,armed_with_gun_per_1m_nm,mental_illness_related_count_nm,mental_illness_related_per_1m_nm,body_camera_count_nm,body_camera_per_1m_nm,fatal_shootings_national,population_national,fatal_shootings_per_1m_national,unarmed_count_national,unarmed_per_1m_national,armed_with_gun_count_national,armed_with_gun_per_1m_national,mental_illness_related_count_national,mental_illness_related_per_1m_national,body_camera_count_national,body_camera_per_1m_national,nm_rate_ratio_vs_national
2015,20,2089291,9.5726,1,0.4786,16,7.6581,3,1.4359,3,1.4359,995,320635163,3.1032,94,0.2932,565,1.7621,261,0.814,75,0.2339,3.0847512245424076
2016,21,2091630,10.04,0,0.0,18,8.6057,6,2.8686,6,2.8686,959,322941311,2.9696,64,0.1982,523,1.6195,249,0.771,145,0.449,3.380926724137931
2017,21,2091784,10.0393,4,1.9122,8,3.8245,4,1.9122,5,2.3903,984,324985539,3.0278,69,0.2123,573,1.7632,240,0.7385,111,0.3416,3.315707774621838
2018,20,2092741,9.5568,2,0.9557,11,5.2563,3,1.4335,0,0.0,992,326687501,3.0365,59,0.1806,555,1.6989,220,0.6734,125,0.3826,3.1473077556397167
2019,18,2096829,8.5844,0,0.0,13,6.1998,1,0.4769,1,0.4769,993,328239523,3.0252,54,0.1645,594,1.8097,217,0.6611,138,0.4204,2.8376305698796775
2020,16,2118446,7.5527,0,0.0,15,7.0807,2,0.9441,1,0.472,1021,331578104,3.0792,61,0.184,652,1.9664,223,0.6725,181,0.5459,2.45281241881008
2021,26,2117300,12.2798,1,0.4723,18,8.5014,2,0.9446,5,2.3615,1050,332100166,3.1617,33,0.0994,634,1.9091,153,0.4607,225,0.6775,3.8839232058702593
2022,30,2112859,14.1988,2,0.9466,16,7.5727,7,3.313,5,2.3665,1097,333996304,3.2845,51,0.1527,665,1.991,158,0.4731,209,0.6258,4.322971532957832
2023,22,2119349,10.3805,1,0.4718,13,6.134,4,1.8874,8,3.7747,1164,336755052,3.4565,51,0.1514,718,2.1321,161,0.4781,353,1.0482,3.0031824099522635
2024,25,2126774,11.7549,1,0.4702,19,8.9337,3,1.4106,5,2.351,1175,340003797,3.4558,29,0.0853,674,1.9823,175,0.5147,237,0.6971,3.401498929336188
