state_abbr,state_fips,state_name,fatal_shootings_2015_2024,avg_population_2015_2024,annualized_fatal_shootings_per_1m,unarmed_count_2015_2024,mental_illness_related_count_2015_2024,rank_by_annualized_rate_per_1m,region,person_years_est,rate_ratio_vs_rest_us,expected_count_if_rest_us_rate,residual_vs_rest_us_rate,std_residual_vs_rest_us_rate
NM,35,New Mexico,219,2105700,10.4003,12,35,1,West,21057000,3.3376147037151114,65.61545790657959,153.3845420934204,18.935575639839705
AK,2,Alaska,69,735768,9.378,4,10,2,West,7357680,3.0095430604348254,22.927175871685545,46.07282412831445,9.622093059384213
OK,40,Oklahoma,266,3980816,6.682,20,51,3,South,39808160,2.1443555907256884,124.04571623775398,141.954283762246,12.745521715823743
CO,8,Colorado,375,5740708,6.5323,17,47,4,West,57407080,2.096314580260014,178.88549372083617,196.11450627916383,14.662977121736166
AZ,4,Arizona,461,7209073,6.3947,27,70,5,West,72090730,2.0521566441205565,224.64103432443343,236.35896567556657,15.76984903202072
MT,30,Montana,69,1083653,6.3674,0,9,6,West,10836530,2.0433956582440507,33.76757743593043,35.23242256406957,6.0630696024687
WY,56,Wyoming,36,581558,6.1903,2,6,7,West,5815580,1.9865615703785133,18.12185708754078,17.87814291245922,4.19972693867941
WV,54,West Virginia,100,1797555,5.5631,3,16,8,South,17975550,1.785283535882382,56.01338957936158,43.98661042063842,5.877255481453423
NV,32,Nevada,171,3076952,5.5574,6,37,9,West,30769520,1.7834543190510237,95.8805216491266,75.1194783508734,7.6716250630643295
ID,16,Idaho,90,1825726,4.9295,2,12,10,West,18257260,1.5819516438913919,56.891222634728564,33.108777365271436,4.3895551507934325
AR,5,Arkansas,143,3025174,4.727,4,20,11,South,30251740,1.5169663090931351,94.26707377930333,48.73292622069667,5.019292174612403
MS,28,Mississippi,139,2966196,4.6861,7,17,12,South,29661960,1.5038408760400548,92.42926759778922,46.57073240221078,4.844046596580627
DC,11,District of Columbia,30,685238,4.378,3,5,13,South,6852380,1.4049668925766332,21.352616775888677,8.647383224111323,1.871367802808096
