state_abbr,state_name,region,observed,expected_region_year_model,avg_population,residual_obs_minus_expected,standardized_residual,observed_rate_per_1m,expected_rate_per_1m
NM,New Mexico,West,219,94.802890318699,2105700.3,124.197109681301,12.755594364356618,10.400340447308668,4.5022024415677295
OK,Oklahoma,South,266,140.305669954659,3980815.7,125.69433004534099,10.611531719552413,6.682047601450125,3.524545734550309
MO,Missouri,Midwest,263,154.5352601029992,6148099.8,108.46473989700081,8.725187839510962,4.2777444829376385,2.513545081083414
AZ,Arizona,West,461,324.90036035163985,7209072.8,136.09963964836015,7.550607216559846,6.394719720405653,4.5068259034870595
ME,Maine,Northeast,49,17.582153673448772,1362303.0,31.417846326551228,7.492735041270543,3.5968503335895172,1.290619904195232
CO,Colorado,West,375,258.70579743924964,5740708.4,116.29420256075036,7.230277808615216,6.532294864515327,4.506513472087341
AK,Alaska,West,69,33.113794596007914,735768.4,35.886205403992086,6.236243486285295,9.37795099653641,4.500573087401948
PA,Pennsylvania,Northeast,227,166.40362977241742,12900976.6,60.59637022758258,4.697482952327033,1.7595567144893511,1.289852969521838
WV,West Virginia,South,100,63.277074034729544,1797554.7,36.722925965270456,4.616513210118447,5.563113044626681,3.5201751598841216
NH,New Hampshire,Northeast,33,17.697202357874236,1371397.4,15.302797642125764,3.637630033880279,2.406304693300425,1.2904503361224278
AR,Arkansas,South,143,106.60712277870617,3025173.9,36.39287722129383,3.524709110818537,4.727000983315372,3.523999819603963
MS,Mississippi,South,139,104.44925824686058,2966195.5,34.55074175313942,3.380684912252928,4.686137511839662,3.5213207708952625
IN,Indiana,Midwest,214,169.94704581346025,6759065.1,44.05295418653975,3.379233700193161,3.166118343792842,2.51435728609065
TN,Tennessee,South,293,243.04431313415768,6890885.2,49.955686865842324,3.2043666480643873,4.251993633561041,3.527040519179708
KS,Kansas,Midwest,99,73.59856283333795,2928352.1,25.40143716666205,2.96089919523312,3.380740997641643,2.513309886244142
MT,Montana,West,69,48.84864007957246,1083653.3,20.151359920427538,2.8832222521323416,6.367350147874786,4.50777384977026
LA,Louisiana,South,200,163.45347005698724,4641709.4,36.54652994301276,2.8585716019009997,4.308757459051615,3.521406791579569
NV,Nevada,West,171,138.7375664137955,3076951.9,32.26243358620451,2.7390508024228932,5.557447940606417,4.508928671059028
SD,South Dakota,Midwest,35,22.365596292363954,889132.5,12.634403707636046,2.671557396249789,3.936421174571844,2.5154401950624856
VT,Vermont,Northeast,15,8.198066237035112,635362.4,6.801933762964888,2.3756184362668433,2.3608573626642055,1.2902976690208787
WY,Wyoming,West,36,26.177063987057913,581558.0,9.822936012942087,1.9199098986595573,6.190268210565413,4.501195751250591
AL,Alabama,South,200,175.65743145513375,4982201.7,24.342568544866253,1.8366784804327179,4.014289505782152,3.525698918514956
ND,North Dakota,Midwest,27,19.36716476348646,770182.2,7.6328352365135395,1.7344143740198046,3.5056639844442006,2.5146211848944913
KY,Kentucky,South,179,158.28524912778377,4491710.8,20.71475087221623,1.6464914981822738,3.985118543250825,3.5239412369955736
WI,Wisconsin,Midwest,163,147.1218025464849,5852408.3,15.8781974535151,1.30906942563042,2.785178197495209,2.513867710605306
DC,District of Columbia,South,30,24.132765528402533,685238.2,5.867234471597467,1.1943452799036285,4.378039636435914,3.5218068006720196
GA,Georgia,South,393,376.47486845985395,10674272.3,16.52513154014605,0.8516809437014885,3.6817498088370857,3.5269370864733696
ID,Idaho,West,90,82.4152154043626,1825725.8,7.584784595637402,0.8354867225042242,4.929546375474345,4.514106959783479
OH,Ohio,Midwest,305,294.7409784920407,11727092.6,10.25902150795929,0.5975657256048549,2.6008151415125687,2.513333769463377
NE,Nebraska,Midwest,49,48.95362262466449,1946723.5,0.046377375335509896,0.006628476926871143,2.5170498018850647,2.514667472019755
TX,Texas,South,1010,1031.2860446414609,29227068.0,-21.286044641460876,-0.6628349474219655,3.4557007223577814,3.528530623193065
SC,South Carolina,South,171,182.02796349880015,5160045.3,-11.027963498800148,-0.8173842494309087,3.3139243951986237,3.527642741795312
NJ,New Jersey,Northeast,108,117.63421558081346,9112957.2,-9.63421558081346,-0.8882792755497979,1.185125724062437,1.2908456936548924
UT,Utah,West,133,146.41494334304014,3245426.7,-13.414943343040136,-1.1086542875806782,4.098074376475672,4.511423516144738
RI,Rhode Island,Northeast,8,13.924300029882485,1078989.7,-5.924300029882485,-1.5876338813347894,0.7414343250913331,1.2904942493781437
OR,Oregon,West,166,188.7749351296415,4190893.1,-22.774935129641506,-1.657620021805801,3.960969560402292,4.504408263948357
IA,Iowa,Midwest,63,79.77764199440722,3173477.0,-16.77764199440722,-1.8784097130445063,1.9852042412785722,2.513887511849218
CT,Connecticut,Northeast,32,46.431130973223475,3599730.0,-14.431130973223475,-2.117852632258948,0.8889555605559306,1.2898503769233658
HI,Hawaii,West,47,64.44921636071389,1431622.2,-17.44921636071389,-2.1735373481758695,3.2829890455736157,4.501831304426118
DE,Delaware,South,22,34.88795449284799,988901.5,-12.887954492847989,-2.1819572646526177,2.224690730067656,3.5279504068755068
MN,Minnesota,Midwest,107,142.12227399505068,5651947.2,-35.122273995050676,-2.946127600337997,1.8931528588943647,2.514571862862602
MA,Massachusetts,Northeast,61,89.63943566923794,6947230.8,-28.63943566923794,-3.0249270059204134,0.8780476963569427,1.2902901638050939
NC,North Carolina,South,310,370.19703935626245,10496976.2,-60.19703935626245,-3.1286621017184673,2.9532314267798374,3.5267017120250537
FL,Florida,South,672,764.1864283312732,21654528.4,-92.18642833127319,-3.3347810792696144,3.103277003252585,3.528991323271086
NY,New York,Northeast,199,254.48986570605922,19732017.2,-55.48986570605922,-3.478391230438598,1.008513209688465,1.2897306095296694
WA,Washington,West,277,342.74252217321,7604512.1,-65.74252217320998,-3.5510956257897526,3.64257425535558,4.507094178641783
MI,Michigan,Midwest,187,251.68775047873325,10014697.7,-64.68775047873325,-4.0774722044700145,1.8672555637900083,2.5131837027765025
MD,Maryland,South,129,215.28775600947907,6108215.5,-86.28775600947907,-5.880841972753949,2.111909771356299,3.5245605858123223
VA,Virginia,South,199,302.4395908926254,8580233.0,-103.4395908926254,-5.947952248677915,2.319284336451003,3.524841235577465
IL,Illinois,Midwest,212,319.7823000629535,12729786.1,-107.78230006295348,-6.02726430264578,1.6653854065937526,2.512079131187864
CA,California,West,1405,1767.9170544029894,39276999.3,-362.9170544029894,-8.631304429944691,3.577157178603509,4.501151019454252
AK,Alabama,West,0,0.0,,0.0,,,
AK,Alabama,South,0,0.0,,0.0,,,
AK,Alabama,Midwest,0,0.0,,0.0,,,
AK,Alabama,Northeast,0,0.0,,0.0,,,
AK,Alaska,South,0,0.0,,0.0,,,
AK,Alaska,Midwest,0,0.0,,0.0,,,
AK,Alaska,Northeast,0,0.0,,0.0,,,
AK,Arizona,West,0,0.0,,0.0,,,
AK,Arizona,South,0,0.0,,0.0,,,
AK,Arizona,Midwest,0,0.0,,0.0,,,
AK,Arizona,Northeast,0,0.0,,0.0,,,
AK,Arkansas,West,0,0.0,,0.0,,,
AK,Arkansas,South,0,0.0,,0.0,,,
AK,Arkansas,Midwest,0,0.0,,0.0,,,
AK,Arkansas,Northeast,0,0.0,,0.0,,,
AK,California,West,0,0.0,,0.0,,,
AK,California,South,0,0.0,,0.0,,,
AK,California,Midwest,0,0.0,,0.0,,,
AK,California,Northeast,0,0.0,,0.0,,,
AK,Colorado,West,0,0.0,,0.0,,,
AK,Colorado,South,0,0.0,,0.0,,,
AK,Colorado,Midwest,0,0.0,,0.0,,,
AK,Colorado,Northeast,0,0.0,,0.0,,,
AK,Connecticut,West,0,0.0,,0.0,,,
AK,Connecticut,South,0,0.0,,0.0,,,
AK,Connecticut,Midwest,0,0.0,,0.0,,,
AK,Connecticut,Northeast,0,0.0,,0.0,,,
AK,Delaware,West,0,0.0,,0.0,,,
AK,Delaware,South,0,0.0,,0.0,,,
AK,Delaware,Midwest,0,0.0,,0.0,,,
AK,Delaware,Northeast,0,0.0,,0.0,,,
AK,District of Columbia,West,0,0.0,,0.0,,,
AK,District of Columbia,South,0,0.0,,0.0,,,
AK,District of Columbia,Midwest,0,0.0,,0.0,,,
AK,District of Columbia,Northeast,0,0.0,,0.0,,,
AK,Florida,West,0,0.0,,0.0,,,
AK,Florida,South,0,0.0,,0.0,,,
AK,Florida,Midwest,0,0.0,,0.0,,,
AK,Florida,Northeast,0,0.0,,0.0,,,
AK,Georgia,West,0,0.0,,0.0,,,
AK,Georgia,South,0,0.0,,0.0,,,
AK,Georgia,Midwest,0,0.0,,0.0,,,
AK,Georgia,Northeast,0,0.0,,0.0,,,
AK,Hawaii,West,0,0.0,,0.0,,,
AK,Hawaii,South,0,0.0,,0.0,,,
AK,Hawaii,Midwest,0,0.0,,0.0,,,
AK,Hawaii,Northeast,0,0.0,,0.0,,,
AK,Idaho,West,0,0.0,,0.0,,,
AK,Idaho,South,0,0.0,,0.0,,,
AK,Idaho,Midwest,0,0.0,,0.0,,,
AK,Idaho,Northeast,0,0.0,,0.0,,,
AK,Illinois,West,0,0.0,,0.0,,,
AK,Illinois,South,0,0.0,,0.0,,,
AK,Illinois,Midwest,0,0.0,,0.0,,,
AK,Illinois,Northeast,0,0.0,,0.0,,,
AK,Indiana,West,0,0.0,,0.0,,,
AK,Indiana,South,0,0.0,,0.0,,,
AK,Indiana,Midwest,0,0.0,,0.0,,,
AK,Indiana,Northeast,0,0.0,,0.0,,,
AK,Iowa,West,0,0.0,,0.0,,,
AK,Iowa,South,0,0.0,,0.0,,,
AK,Iowa,Midwest,0,0.0,,0.0,,,
AK,Iowa,Northeast,0,0.0,,0.0,,,
AK,Kansas,West,0,0.0,,0.0,,,
AK,Kansas,South,0,0.0,,0.0,,,
AK,Kansas,Midwest,0,0.0,,0.0,,,
AK,Kansas,Northeast,0,0.0,,0.0,,,
AK,Kentucky,West,0,0.0,,0.0,,,
AK,Kentucky,South,0,0.0,,0.0,,,
AK,Kentucky,Midwest,0,0.0,,0.0,,,
AK,Kentucky,Northeast,0,0.0,,0.0,,,
AK,Louisiana,West,0,0.0,,0.0,,,
AK,Louisiana,South,0,0.0,,0.0,,,
AK,Louisiana,Midwest,0,0.0,,0.0,,,
AK,Louisiana,Northeast,0,0.0,,0.0,,,
AK,Maine,West,0,0.0,,0.0,,,
AK,Maine,South,0,0.0,,0.0,,,
AK,Maine,Midwest,0,0.0,,0.0,,,
AK,Maine,Northeast,0,0.0,,0.0,,,
AK,Maryland,West,0,0.0,,0.0,,,
AK,Maryland,South,0,0.0,,0.0,,,
AK,Maryland,Midwest,0,0.0,,0.0,,,
AK,Maryland,Northeast,0,0.0,,0.0,,,
AK,Massachusetts,West,0,0.0,,0.0,,,
AK,Massachusetts,South,0,0.0,,0.0,,,
AK,Massachusetts,Midwest,0,0.0,,0.0,,,
AK,Massachusetts,Northeast,0,0.0,,0.0,,,
AK,Michigan,West,0,0.0,,0.0,,,
AK,Michigan,South,0,0.0,,0.0,,,
AK,Michigan,Midwest,0,0.0,,0.0,,,
AK,Michigan,Northeast,0,0.0,,0.0,,,
AK,Minnesota,West,0,0.0,,0.0,,,
AK,Minnesota,South,0,0.0,,0.0,,,
AK,Minnesota,Midwest,0,0.0,,0.0,,,
AK,Minnesota,Northeast,0,0.0,,0.0,,,
AK,Mississippi,West,0,0.0,,0.0,,,
AK,Mississippi,South,0,0.0,,0.0,,,
AK,Mississippi,Midwest,0,0.0,,0.0,,,
AK,Mississippi,Northeast,0,0.0,,0.0,,,
AK,Missouri,West,0,0.0,,0.0,,,
AK,Missouri,South,0,0.0,,0.0,,,
AK,Missouri,Midwest,0,0.0,,0.0,,,
AK,Missouri,Northeast,0,0.0,,0.0,,,
AK,Montana,West,0,0.0,,0.0,,,
AK,Montana,South,0,0.0,,0.0,,,
AK,Montana,Midwest,0,0.0,,0.0,,,
AK,Montana,Northeast,0,0.0,,0.0,,,
AK,Nebraska,West,0,0.0,,0.0,,,
AK,Nebraska,South,0,0.0,,0.0,,,
AK,Nebraska,Midwest,0,0.0,,0.0,,,
AK,Nebraska,Northeast,0,0.0,,0.0,,,
AK,Nevada,West,0,0.0,,0.0,,,
AK,Nevada,South,0,0.0,,0.0,,,
AK,Nevada,Midwest,0,0.0,,0.0,,,
AK,Nevada,Northeast,0,0.0,,0.0,,,
AK,New Hampshire,West,0,0.0,,0.0,,,
AK,New Hampshire,South,0,0.0,,0.0,,,
AK,New Hampshire,Midwest,0,0.0,,0.0,,,
AK,New Hampshire,Northeast,0,0.0,,0.0,,,
AK,New Jersey,West,0,0.0,,0.0,,,
AK,New Jersey,South,0,0.0,,0.0,,,
AK,New Jersey,Midwest,0,0.0,,0.0,,,
AK,New Jersey,Northeast,0,0.0,,0.0,,,
AK,New Mexico,West,0,0.0,,0.0,,,
AK,New Mexico,South,0,0.0,,0.0,,,
AK,New Mexico,Midwest,0,0.0,,0.0,,,
AK,New Mexico,Northeast,0,0.0,,0.0,,,
AK,New York,West,0,0.0,,0.0,,,
AK,New York,South,0,0.0,,0.0,,,
AK,New York,Midwest,0,0.0,,0.0,,,
AK,New York,Northeast,0,0.0,,0.0,,,
AK,North Carolina,West,0,0.0,,0.0,,,
AK,North Carolina,South,0,0.0,,0.0,,,
AK,North Carolina,Midwest,0,0.0,,0.0,,,
AK,North Carolina,Northeast,0,0.0,,0.0,,,
AK,North Dakota,West,0,0.0,,0.0,,,
AK,North Dakota,South,0,0.0,,0.0,,,
AK,North Dakota,Midwest,0,0.0,,0.0,,,
AK,North Dakota,Northeast,0,0.0,,0.0,,,
AK,Ohio,West,0,0.0,,0.0,,,
AK,Ohio,South,0,0.0,,0.0,,,
AK,Ohio,Midwest,0,0.0,,0.0,,,
AK,Ohio,Northeast,0,0.0,,0.0,,,
AK,Oklahoma,West,0,0.0,,0.0,,,
AK,Oklahoma,South,0,0.0,,0.0,,,
AK,Oklahoma,Midwest,0,0.0,,0.0,,,
AK,Oklahoma,Northeast,0,0.0,,0.0,,,
AK,Oregon,West,0,0.0,,0.0,,,
AK,Oregon,South,0,0.0,,0.0,,,
AK,Oregon,Midwest,0,0.0,,0.0,,,
AK,Oregon,Northeast,0,0.0,,0.0,,,
AK,Pennsylvania,West,0,0.0,,0.0,,,
AK,Pennsylvania,South,0,0.0,,0.0,,,
AK,Pennsylvania,Midwest,0,0.0,,0.0,,,
AK,Pennsylvania,Northeast,0,0.0,,0.0,,,
AK,Rhode Island,West,0,0.0,,0.0,,,
AK,Rhode Island,South,0,0.0,,0.0,,,
AK,Rhode Island,Midwest,0,0.0,,0.0,,,
AK,Rhode Island,Northeast,0,0.0,,0.0,,,
AK,South Carolina,West,0,0.0,,0.0,,,
AK,South Carolina,South,0,0.0,,0.0,,,
AK,South Carolina,Midwest,0,0.0,,0.0,,,
AK,South Carolina,Northeast,0,0.0,,0.0,,,
AK,South Dakota,West,0,0.0,,0.0,,,
AK,South Dakota,South,0,0.0,,0.0,,,
AK,South Dakota,Midwest,0,0.0,,0.0,,,
AK,South Dakota,Northeast,0,0.0,,0.0,,,
AK,Tennessee,West,0,0.0,,0.0,,,
AK,Tennessee,South,0,0.0,,0.0,,,
AK,Tennessee,Midwest,0,0.0,,0.0,,,
AK,Tennessee,Northeast,0,0.0,,0.0,,,
AK,Texas,West,0,0.0,,0.0,,,
AK,Texas,South,0,0.0,,0.0,,,
AK,Texas,Midwest,0,0.0,,0.0,,,
AK,Texas,Northeast,0,0.0,,0.0,,,
AK,Utah,West,0,0.0,,0.0,,,
AK,Utah,South,0,0.0,,0.0,,,
AK,Utah,Midwest,0,0.0,,0.0,,,
AK,Utah,Northeast,0,0.0,,0.0,,,
AK,Vermont,West,0,0.0,,0.0,,,
AK,Vermont,South,0,0.0,,0.0,,,
AK,Vermont,Midwest,0,0.0,,0.0,,,
AK,Vermont,Northeast,0,0.0,,0.0,,,
AK,Virginia,West,0,0.0,,0.0,,,
AK,Virginia,South,0,0.0,,0.0,,,
AK,Virginia,Midwest,0,0.0,,0.0,,,
AK,Virginia,Northeast,0,0.0,,0.0,,,
AK,Washington,West,0,0.0,,0.0,,,
AK,Washington,South,0,0.0,,0.0,,,
AK,Washington,Midwest,0,0.0,,0.0,,,
AK,Washington,Northeast,0,0.0,,0.0,,,
AK,West Virginia,West,0,0.0,,0.0,,,
AK,West Virginia,South,0,0.0,,0.0,,,
AK,West Virginia,Midwest,0,0.0,,0.0,,,
AK,West Virginia,Northeast,0,0.0,,0.0,,,
AK,Wisconsin,West,0,0.0,,0.0,,,
AK,Wisconsin,South,0,0.0,,0.0,,,
AK,Wisconsin,Midwest,0,0.0,,0.0,,,
AK,Wisconsin,Northeast,0,0.0,,0.0,,,
AK,Wyoming,West,0,0.0,,0.0,,,
AK,Wyoming,South,0,0.0,,0.0,,,
AK,Wyoming,Midwest,0,0.0,,0.0,,,
AK,Wyoming,Northeast,0,0.0,,0.0,,,
AL,Alabama,West,0,0.0,,0.0,,,
AL,Alabama,Midwest,0,0.0,,0.0,,,
