year,race_or_ethnicity_label,fatal_shootings_count_any_mention,us_total_population,rate_per_1m_total_us_population_NOT_GROUP_SPECIFIC,denominator_warning
2015,Asian heritage,17,320635163,0.053,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2015,Black,258,320635163,0.8047,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2015,Hispanic,176,320635163,0.5489,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2015,Native American,10,320635163,0.0312,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2015,Other,10,320635163,0.0312,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2015,Unknown,19,320635163,0.0593,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2015,White,505,320635163,1.575,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2016,Asian heritage,19,322941311,0.0588,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2016,Black,239,322941311,0.7401,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2016,Hispanic,168,322941311,0.5202,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2016,Native American,19,322941311,0.0588,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2016,Other,2,322941311,0.0062,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2016,Unknown,39,322941311,0.1208,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2016,White,473,322941311,1.4647,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2017,Asian heritage,17,324985539,0.0523,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2017,Black,228,324985539,0.7016,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2017,Hispanic,191,324985539,0.5877,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2017,Native American,22,324985539,0.0677,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2017,Other,2,324985539,0.0062,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2017,Unknown,60,324985539,0.1846,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2017,White,464,324985539,1.4278,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2018,Asian heritage,27,326687501,0.0826,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2018,Black,236,326687501,0.7224,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2018,Hispanic,181,326687501,0.554,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2018,Native American,16,326687501,0.049,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2018,Other,1,326687501,0.0031,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2018,Unknown,55,326687501,0.1684,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2018,White,476,326687501,1.457,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2019,Asian heritage,27,328239523,0.0823,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2019,Black,257,328239523,0.783,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2019,Hispanic,171,328239523,0.521,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2019,Native American,13,328239523,0.0396,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2019,Other,3,328239523,0.0091,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2019,Unknown,91,328239523,0.2772,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2019,White,431,328239523,1.3131,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2020,Asian heritage,16,331578104,0.0483,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2020,Black,251,331578104,0.757,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2020,Hispanic,176,331578104,0.5308,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2020,Native American,10,331578104,0.0302,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2020,Other,2,331578104,0.006,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2020,Unknown,100,331578104,0.3016,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2020,White,468,331578104,1.4114,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2021,Asian heritage,13,332100166,0.0391,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2021,Black,254,332100166,0.7648,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2021,Hispanic,157,332100166,0.4727,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2021,Native American,15,332100166,0.0452,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2021,Other,1,332100166,0.003,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2021,Unknown,125,332100166,0.3764,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2021,White,487,332100166,1.4664,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2022,Asian heritage,17,333996304,0.0509,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2022,Black,261,333996304,0.7814,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2022,Hispanic,157,333996304,0.4701,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2022,Native American,16,333996304,0.0479,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2022,Other,2,333996304,0.006,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2022,Unknown,187,333996304,0.5599,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2022,White,459,333996304,1.3743,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2023,Asian heritage,20,336755052,0.0594,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2023,Black,251,336755052,0.7453,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2023,Hispanic,167,336755052,0.4959,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2023,Native American,12,336755052,0.0356,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2023,Other,5,336755052,0.0148,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2023,Unknown,208,336755052,0.6177,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2023,White,504,336755052,1.4966,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2024,Asian heritage,12,340003797,0.0353,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2024,Black,259,340003797,0.7618,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2024,Hispanic,180,340003797,0.5294,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2024,Native American,15,340003797,0.0441,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2024,Other,9,340003797,0.0265,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2024,Unknown,304,340003797,0.8941,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
2024,White,401,340003797,1.1794,"This uses total U.S. population, not race/ethnicity-specific population. Do not treat as within-group risk rate."
