state_abbr,top_city,top_city_count,top_city_share,city_hhi,num_cities_with_incidents,top_county,top_county_count,top_county_share,county_hhi,num_counties_with_incidents
AK,Anchorage,18,0.2647058823529412,0.13624567474048446,26,Anchorage,14,0.4117647058823529,0.24913494809688583,8
AL,Birmingham,15,0.07692307692307693,0.020276134122287973,114,Jefferson,13,0.11206896551724138,0.046819262782401914,43
AR,Little Rock,12,0.08571428571428572,0.02285714285714286,84,Pulaski,11,0.171875,0.05908203125,34
AZ,Phoenix,130,0.28199566160520606,0.1080693202083559,97,Maricopa,151,0.5992063492063492,0.3938334593096498,13
CA,Los Angeles,157,0.11198288159771755,0.0191818901467437,429,Los Angeles,222,0.27680798004987534,0.10887681046759659,47
CO,Denver,56,0.15013404825737264,0.05029145613064134,101,Adams,31,0.15048543689320387,0.08714299179941556,27
CT,Hartford,4,0.125,0.05078125,26,New Haven,5,0.2631578947368421,0.18005540166204984,7
DC,Washington,30,1.0,1.0,1,Washington,19,1.0,1.0,1
DE,Wilmington,7,0.3333333333333333,0.15192743764172334,13,New Castle,8,0.6153846153846154,0.4792899408284024,3
FL,Jacksonville,53,0.07969924812030076,0.01871219401888179,248,Miami-Dade,49,0.13687150837988826,0.05311944071658188,53
GA,Atlanta,39,0.10051546391752578,0.01750983101286003,187,Fulton,23,0.12105263157894737,0.03645429362880886,73
HI,Honolulu,18,0.3829787234042553,0.17609778180172028,22,Honolulu,12,0.5454545454545454,0.4173553719008264,3
IA,Des Moines,8,0.12698412698412698,0.049634668682287726,34,Polk,9,0.28125,0.12109375,16
ID,Boise,19,0.21348314606741572,0.07284433783613181,41,Ada,21,0.4117647058823529,0.2064590542099192,14
IL,Chicago,57,0.2714285714285714,0.08081632653061223,110,Cook,49,0.4016393442622951,0.17643106691749538,37
IN,Indianapolis,44,0.205607476635514,0.0591754738405101,92,Marion,39,0.3170731707317073,0.1257849163857492,40
KS,Wichita,20,0.20202020202020202,0.08295071931435569,45,Sedgwick,11,0.19642857142857142,0.09502551020408162,24
KY,Louisville,37,0.2138728323699422,0.053560092218249866,106,Jefferson,20,0.2127659574468085,0.06518786781349027,46
LA,Baton Rouge,16,0.08,0.0274,94,Jefferson,15,0.13513513513513514,0.059816573330086845,34
MA,Boston,10,0.16393442622950818,0.05079279763504434,41,Middlesex,6,0.1875,0.140625,9
MD,Baltimore,33,0.2558139534883721,0.0767381767922601,67,Baltimore City,14,0.23333333333333334,0.14999999999999997,14
ME,Presque Isle,4,0.08163265306122448,0.03206997084548104,39,Cumberland,5,0.1724137931034483,0.12009512485136742,11
MI,Detroit,33,0.1774193548387097,0.0404092958723552,111,Wayne,24,0.24,0.08700000000000001,37
MN,Minneapolis,15,0.14150943396226415,0.04449982200071199,67,Hennepin,14,0.22950819672131148,0.12012899758129533,28
MO,Kansas City,42,0.16279069767441862,0.06261642930112374,102,Jackson,31,0.2198581560283688,0.08918062471706655,43
MS,Jackson,11,0.08088235294117647,0.0263840830449827,80,Harrison,10,0.136986301369863,0.05835991743291424,31
MT,Billings,17,0.2463768115942029,0.09514807813484562,34,Yellowstone,11,0.3235294117647059,0.14359861591695502,15
NC,Charlotte,29,0.09385113268608414,0.018422513379625267,166,Mecklenburg,22,0.1286549707602339,0.0381997879689477,64
ND,Bismarck,3,0.1111111111111111,0.0699588477366255,18,Cass,3,0.2,0.12000000000000002,10
NE,Omaha,20,0.4166666666666667,0.21093750000000008,21,Douglas,13,0.5652173913043478,0.36105860113421545,8
NH,Manchester,6,0.18181818181818182,0.06336088154269973,25,Hillsborough,7,0.3888888888888889,0.23456790123456794,7
NJ,Newark,9,0.08333333333333333,0.02657750342935528,68,Essex,8,0.12307692307692308,0.082603550295858,17
NM,Albuquerque,77,0.3532110091743119,0.14447437084420497,61,Bernalillo,44,0.3793103448275862,0.174346016646849,23
NV,Las Vegas,86,0.5029239766081871,0.27786327416983003,29,Clark,59,0.6276595744680851,0.4631054775916703,6
NY,New York,48,0.24120603015075376,0.07199313148657861,98,Kings,20,0.17094017094017094,0.07107896851486596,32
OH,Columbus,51,0.16721311475409836,0.03926901370599301,150,Franklin,40,0.22727272727272727,0.08070764462809916,43
OK,Oklahoma City,47,0.17803030303030304,0.06238521579430669,120,Oklahoma,27,0.20454545454545456,0.08907254361799817,43
OR,Portland,31,0.18787878787878787,0.05557392102846649,72,Multnomah,16,0.18823529411764706,0.09979238754325258,20
PA,Philadelphia,42,0.18584070796460178,0.04381705693476389,135,Philadelphia,22,0.16666666666666666,0.06657483930211203,40
RI,Pawtucket,2,0.25,0.1875,6,Providence,4,0.6666666666666666,0.5,3
SC,Greenville,12,0.07142857142857142,0.02026643990929704,93,Greenville,17,0.18681318681318682,0.08924042989977057,25
SD,Rapid City,13,0.37142857142857144,0.19510204081632662,14,Pennington,11,0.5238095238095238,0.3061224489795918,9
TN,Memphis,30,0.10309278350515463,0.025542919899387118,147,Shelby,22,0.15384615384615385,0.053156633576213995,53
TX,Houston,125,0.12413108242303873,0.0334411847948176,323,Harris,96,0.15311004784688995,0.053928863044954714,122
UT,Salt Lake City,20,0.15267175572519084,0.04807412155468795,57,Salt Lake,33,0.4647887323943662,0.27038286054354294,14
VA,Virginia Beach,13,0.06770833333333333,0.021972656249999997,104,Richmond City,8,0.06504065040650407,0.030867869654306296,54
VT,Burlington,2,0.13333333333333333,0.09333333333333334,12,Chittenden,4,0.5714285714285714,0.38775510204081637,4
WA,Spokane,29,0.10469314079422383,0.03355967105005929,103,King,30,0.22727272727272727,0.1213269054178145,21
WI,Milwaukee,27,0.1656441717791411,0.03857879483608716,95,Milwaukee,14,0.16091954022988506,0.05324349319593076,37
WV,Charleston,7,0.07291666666666667,0.019965277777777776,74,Kanawha,8,0.15384615384615385,0.061390532544378706,25
WY,Casper,8,0.2222222222222222,0.10802469135802471,17,Natrona,5,0.23809523809523808,0.13378684807256236,10
