state_abbr,state_name,fatal_shootings,exposure_population,annualized_rate_per_1m,expected_if_national_rate,std_residual,annualized_fatal_shootings_per_1m,rank_by_annualized_rate_per_1m,unarmed_count_2015_2024,annualized_unarmed_per_1m
NM,New Mexico,219,21057003,10.39598,66.59481657127863,18.675813333122093,10.4003,1,12,0.569881749536971
AZ,Arizona,461,72090728,6.398300000000001,227.9939271343572,15.431409657224775,6.3947,5,27,0.3745280426484792
CO,Colorado,375,57407084,6.51982,181.55547723823682,14.356605270990075,6.5323,4,17,0.29613072115843553
OK,Oklahoma,266,39808157,6.6969899999999996,125.89716178772743,12.486449457485072,6.682,3,20,0.5024095562316871
AK,Alaska,69,7357684,9.37722,23.269390063221802,9.480134391870784,9.378,2,4,0.5436496286873036
NV,Nevada,171,30769519,5.56412,97.31159148296045,7.469936144202796,5.5574,9,6,0.19499816701723002
MT,Montana,69,10836533,6.32845,34.271587813498805,5.932227727974995,6.3674,6,0,0.0
WV,West Virginia,100,17975547,5.56442,56.84941276939543,5.722999643615001,5.5631,8,3,0.166893363485401
TN,Tennessee,293,68908852,4.23444,217.93093533193624,5.085124184579778,4.252,16,9,0.13060731676700452
MO,Missouri,263,61480998,4.275969999999999,194.4396258303781,4.9167801632851855,4.2777,15,12,0.1951822514272702
AR,Arkansas,143,30251739,4.72174,95.67406195778176,4.838403954037575,4.727,11,4,0.1322237993583179
MS,Mississippi,139,29661955,4.690939999999999,93.80881279118975,4.665862442162758,4.6861,12,7,0.23599249678713075
CA,California,1405,392769993,3.57861,1242.1732398735658,4.619922571872022,3.5772,25,103,0.2622399944557883
LA,Louisiana,200,46417094,4.30884,146.79856676193654,4.390989762416891,4.3088,14,18,0.38778820473235176
ID,Idaho,90,18257258,4.8916699999999995,57.74035116034838,4.245412802056486,4.9295,10,2,0.10954546301033123
WY,Wyoming,36,5815580,6.17868,18.392336428673946,4.10566282566442,6.1903,7,2,0.34390378947585626
AL,Alabama,200,49822017,4.00746,157.56696635917874,3.3804264786011613,4.0143,18,4,0.08028578528128727
