state_abbr,state_name,region,is_nm,fatal_shootings,avg_population,annualized_rate_per_1m,avg_density,avg_log_density,unarmed_count,gun_count,mental_count,bodycam_count,race_missing_count,unique_agencies_with_shootings_total,unique_agencies_per_1m_mean,sheriff_share_mean,local_police_share_mean,top_city_share,top_city,top_county_share,top_county,city_hhi,county_hhi,gun_share,unarmed_share,mental_illness_share,bodycam_share,race_missing_share
AK,Alaska,West,0,69,735768.4,9.37722,1.2893717766511696,0.25414727540233756,4,47,10,9,13,38.0,5.164956115139772,0.0,0.9333333333333333,0.2647058823529412,Anchorage,0.4117647058823529,Anchorage,0.13624567474048446,0.24913494809688583,0.6811594202898551,0.057971014492753624,0.14492753623188406,0.13043478260869565,0.18840579710144928
AL,Alabama,South,0,200,4982201.7,4.00746,98.37499654457498,4.5885357131863795,4,139,42,28,25,187.0,3.7468625971489997,0.3838083547938949,0.6055938191191486,0.07692307692307693,Birmingham,0.11206896551724138,Jefferson,0.020276134122287973,0.046819262782401914,0.695,0.02,0.21,0.14,0.125
AR,Arkansas,South,0,143,3025173.9,4.72174,58.137290285384836,4.0627422613150825,4,86,20,12,21,138.0,4.554384780541707,0.358044243338361,0.6043533182503771,0.08571428571428572,Little Rock,0.171875,Pulaski,0.02285714285714286,0.05908203125,0.6013986013986014,0.027972027972027972,0.13986013986013987,0.08391608391608392,0.14685314685314685
AZ,Arizona,West,0,461,7209072.8,6.398300000000001,63.46349983273765,4.150019620472256,27,268,70,80,65,239.0,3.323599146167419,0.14191836890929374,0.7893708018099777,0.28199566160520606,Phoenix,0.5992063492063492,Maricopa,0.1080693202083559,0.3938334593096498,0.5813449023861171,0.05856832971800434,0.15184381778741865,0.1735357917570499,0.14099783080260303
CA,California,West,0,1405,39276999.3,3.57861,252.13282470679616,5.5299445131088865,103,628,274,308,221,756.0,1.925062094240732,0.3378811055448325,0.6488144056783238,0.11198288159771755,Los Angeles,0.27680798004987534,Los Angeles,0.0191818901467437,0.10887681046759659,0.44697508896797156,0.07330960854092526,0.19501779359430604,0.21921708185053382,0.15729537366548044
CO,Colorado,West,0,375,5740708.4,6.51982,55.38978792381467,4.014005530132293,17,255,47,62,63,237.0,4.122500293562008,0.2527543422451201,0.7405284860377082,0.15013404825737264,Denver,0.15048543689320387,Adams,0.05029145613064134,0.08714299179941556,0.68,0.04533333333333334,0.12533333333333332,0.16533333333333333,0.168
CT,Connecticut,Northeast,0,32,3599730.0,0.88888,743.4386617100372,6.611242355699309,3,15,6,12,2,35.0,0.9716938766019634,0.0,0.9666666666666666,0.125,Hartford,0.2631578947368421,New Haven,0.05078125,0.18005540166204984,0.46875,0.09375,0.1875,0.375,0.0625
DC,District of Columbia,South,0,30,685238.2,4.40783,11233.4131147541,9.32649040926684,3,17,5,14,0,17.0,2.492345727656898,0.0,0.8630952380952381,1.0,Washington,1.0,Washington,1.0,1.0,0.5666666666666667,0.1,0.16666666666666666,0.4666666666666667,0.0
DE,Delaware,South,0,22,988901.5,2.2368300000000003,507.3891739353515,6.22862610284594,0,13,4,4,4,18.0,1.8317652644462132,0.0,0.675,0.3333333333333333,Wilmington,0.6153846153846154,New Castle,0.15192743764172334,0.4792899408284024,0.5909090909090909,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182
FL,Florida,South,0,672,21654528.4,3.09713,403.8140494172494,6.000033702644684,41,406,166,93,76,457.0,2.1038227961148976,0.5719481699206079,0.4121075932434911,0.07969924812030076,Jacksonville,0.13687150837988826,Miami-Dade,0.01871219401888179,0.05311944071658188,0.6041666666666666,0.06101190476190476,0.24702380952380953,0.13839285714285715,0.1130952380952381
