state_abbr,state_fips,state_name,fatal_shootings_2015_2024,avg_population_2015_2024,annualized_fatal_shootings_per_1m,unarmed_count_2015_2024,mental_illness_related_count_2015_2024,rank_by_annualized_rate_per_1m
NM,35,New Mexico,219,2105700,10.4003,12,35,1
AK,02,Alaska,69,735768,9.378,4,10,2
OK,40,Oklahoma,266,3980816,6.682,20,51,3
CO,08,Colorado,375,5740708,6.5323,17,47,4
AZ,04,Arizona,461,7209073,6.3947,27,70,5
MT,30,Montana,69,1083653,6.3674,0,9,6
WY,56,Wyoming,36,581558,6.1903,2,6,7
WV,54,West Virginia,100,1797555,5.5631,3,16,8
NV,32,Nevada,171,3076952,5.5574,6,37,9
ID,16,Idaho,90,1825726,4.9295,2,12,10
AR,05,Arkansas,143,3025174,4.727,4,20,11
MS,28,Mississippi,139,2966196,4.6861,7,17,12
DC,11,District of Columbia,30,685238,4.378,3,5,13
LA,22,Louisiana,200,4641709,4.3088,18,36,14
MO,29,Missouri,263,6148100,4.2777,12,42,15
TN,47,Tennessee,293,6890885,4.252,9,61,16
UT,49,Utah,133,3245427,4.0981,4,29,17
AL,01,Alabama,200,4982202,4.0143,4,42,18
KY,21,Kentucky,179,4491711,3.9851,4,20,19
OR,41,Oregon,166,4190893,3.961,7,44,20
SD,46,South Dakota,35,889132,3.9364,1,12,21
GA,13,Georgia,393,10674272,3.6817,24,63,22
WA,53,Washington,277,7604512,3.6426,13,70,23
ME,23,Maine,49,1362303,3.5969,2,8,24
CA,06,California,1405,39276999,3.5772,103,274,25
ND,38,North Dakota,27,770182,3.5057,4,6,26
TX,48,Texas,1010,29227068,3.4557,63,168,27
KS,20,Kansas,99,2928352,3.3807,7,20,28
SC,45,South Carolina,171,5160045,3.3139,7,30,29
HI,15,Hawaii,47,1431622,3.283,4,8,30
IN,18,Indiana,214,6759065,3.1661,5,49,31
FL,12,Florida,672,21654528,3.1033,41,166,32
NC,37,North Carolina,310,10496976,2.9532,13,64,33
WI,55,Wisconsin,163,5852408,2.7852,6,38,34
OH,39,Ohio,305,11727093,2.6008,20,72,35
NE,31,Nebraska,49,1946724,2.517,4,11,36
NH,33,New Hampshire,33,1371397,2.4063,1,14,37
VT,50,Vermont,15,635362,2.3609,2,6,38
VA,51,Virginia,199,8580233,2.3193,11,43,39
DE,10,Delaware,22,988902,2.2247,0,4,40
MD,24,Maryland,129,6108216,2.1119,10,34,41
IA,19,Iowa,63,3173477,1.9852,2,12,42
MN,27,Minnesota,107,5651947,1.8932,8,29,43
MI,26,Michigan,187,10014698,1.8673,12,49,44
PA,42,Pennsylvania,227,12900977,1.7596,14,52,45
IL,17,Illinois,212,12729786,1.6654,10,35,46
NJ,34,New Jersey,108,9112957,1.1851,3,22,47
NY,36,New York,199,19732017,1.0085,5,63,48
CT,09,Connecticut,32,3599730,0.889,3,6,49
MA,25,Massachusetts,61,6947231,0.878,2,19,50
RI,44,Rhode Island,8,1078990,0.7414,0,1,51
