year,state_abbr,state_fips,state_name,fatal_shootings,population,fatal_shootings_per_100k,fatal_shootings_per_1m,unarmed_count,unarmed_per_1m,armed_with_gun_count,armed_with_gun_per_1m,mental_illness_related_count,mental_illness_related_per_1m,body_camera_count,body_camera_per_1m,race_known_count,race_missing_count,population_source_vintage,population_source_url,region,is_nm,year_centered,land_area_sqmi,population_density,log_density,log_population,gun_share,unarmed_share,mental_illness_share,bodycam_share,race_missing_share,unique_agencies_with_shootings,agency_event_rows,multi_agency_rows,local_police_agency_share,sheriff_agency_share,state_agency_agency_share,other_agency_share,federal_agency_share,unique_agencies_per_1m,multi_agency_share,top_city,top_city_count,top_city_share,city_hhi,num_cities_with_incidents,top_county,top_county_count,top_county_share,county_hhi,num_counties_with_incidents,log_density_z,gun_share_z,unarmed_share_z,mental_illness_share_z,bodycam_share_z,race_missing_share_z,unique_agencies_per_1m_z,sheriff_agency_share_z,local_police_agency_share_z,multi_agency_share_z,top_city_share_z,top_county_share_z,city_hhi_z,county_hhi_z
2015,AK,2,Alaska,4,737498,0.5424,5.4237,0,0.0,3,4.0678,0,0.0,0,0.0,4,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,West,0,-4.5,570641,1.2924027540958325,0.25650308595930643,13.511018655328028,0.75,0.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,4.067807641512248,0.6666666666666666,Anchorage,18,0.2647058823529412,0.13624567474048446,26,Anchorage,14,0.4117647058823529,0.24913494809688583,8,-2.8925928928736004,0.7736766099640295,-0.5784505252305222,-1.2164578041012775,-0.8945380208936955,-0.6865966868886731,0.6223438606657996,-1.203579614309664,1.3194943137753872,2.976323463039444,0.43634881173755646,0.6221926545636477,0.3355734366655532,0.44520353610390373
2015,AL,1,Alabama,17,4852347,0.3503,3.5035,1,0.2061,12,2.473,8,1.6487,3,0.6183,17,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,South,0,-4.5,50645,95.81097837891204,4.562377275268216,15.394973063389113,0.7058823529411765,0.058823529411764705,0.47058823529411764,0.17647058823529413,0.0,20.0,21.0,7.0,0.5789473684210527,0.42105263157894735,0.0,0.0,0.0,4.1217167692252845,0.3333333333333333,Birmingham,15,0.07692307692307693,0.020276134122287973,114,Jefferson,13,0.11206896551724138,0.046819262782401914,43,-0.056630642147380506,0.5691401117337802,0.10264670893783993,1.6040934124694615,0.005208202606351854,-0.6865966868886731,0.6515664661274486,0.8450378102020447,-0.4413864967174199,1.0870695313146321,-0.8144731344162967,-0.9732720470231576,-0.48743896300362655,-0.7345861216219193
2015,AR,5,Arkansas,5,2978048,0.1679,1.679,1,0.3358,2,0.6716,1,0.3358,0,0.0,5,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,South,0,-4.5,52035,57.23163255501105,4.047106762224369,14.906778610296328,0.4,0.2,0.2,0.0,0.0,6.0,6.0,2.0,0.6,0.4,0.0,0.0,0.0,2.0147425427662684,0.3333333333333333,Little Rock,12,0.08571428571428572,0.02285714285714286,84,Pulaski,11,0.171875,0.05908203125,34,-0.3960013853829643,-0.8489796093292841,1.7372800709419092,-0.017723537058713285,-0.8945380208936955,-0.6865966868886731,-0.4905643593873831,0.7426069389764595,-0.35334245619277976,1.0870695313146321,-0.7559148608614175,-0.65488775219508,-0.4691220654707347,-0.6630766517028175
2015,AZ,4,Arizona,42,6829676,0.615,6.1496,3,0.4393,25,3.6605,12,1.757,2,0.2928,42,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,West,0,-4.5,113594,60.12356286423579,4.096401825674324,15.736787792647242,0.5952380952380952,0.07142857142857142,0.2857142857142857,0.047619047619047616,0.0,27.0,51.0,14.0,0.76,0.18,0.0,0.02,0.04,3.953335414447186,0.27450980392156865,Phoenix,130,0.28199566160520606,0.1080693202083559,97,Maricopa,151,0.5992063492063492,0.3938334593096498,13,-0.36353435709906023,0.056175560616645935,0.2485961162596318,0.4960197202452426,-0.6517493574095558,-0.6865966868886731,0.5602917208937502,-0.3277956653309085,0.3157922517944871,0.7536717786573127,0.5515160938717336,1.6200597752859085,0.135611541207479,1.289002704476745
2015,CA,6,California,190,38918045,0.4882,4.8821,23,0.591,74,1.9014,53,1.3618,21,0.5396,186,4,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,West,0,-4.5,155779,249.8285712451614,5.520774967632818,17.47696858277687,0.3894736842105263,0.12105263157894737,0.2789473684210526,0.11052631578947368,0.021052631578947368,87.0,196.0,12.0,0.7180851063829787,0.2712765957446808,0.0,0.0,0.010638297872340425,2.235466863764611,0.061224489795918366,Los Angeles,157,0.11198288159771755,0.0191818901467437,429,Los Angeles,222,0.27680798004987534,0.10887681046759659,47,0.574595342921488,-0.8977813001350982,0.8231758882422653,0.4554610420370355,-0.3310127545962975,-0.5536674387724453,-0.37091598031028783,0.11630754283916954,0.14050031366484408,-0.4551785762158263,-0.5809396486718471,-0.0962649786517226,-0.4952045914206708,-0.37270190671780545
2015,CO,8,Colorado,29,5450623,0.532,5.3205,1,0.1835,19,3.4858,5,0.9173,1,0.1835,28,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,West,0,-4.5,103642,52.59087049651686,3.962542539974565,15.511240472032922,0.6551724137931034,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.034482758620689655,22.0,30.0,2.0,0.8620689655172413,0.13793103448275862,0.0,0.0,0.0,4.036235857809282,0.06666666666666667,Denver,56,0.15013404825737264,0.05029145613064134,101,Adams,31,0.15048543689320387,0.08714299179941556,27,-0.45169761140320436,0.33404068848061935,-0.17918662933872373,-0.18306619458182558,-0.7187255404396632,-0.46886774600864467,0.6052296943267811,-0.5324808028316904,0.7426540482691225,-0.42433361406521714,-0.32681458956416953,-0.7687575485347993,-0.2744262869056239,-0.4994411382694815
2015,CT,9,Connecticut,2,3587122,0.0558,0.5576,0,0.0,1,0.2788,0,0.0,0,0.0,2,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,Northeast,0,-4.5,4842,740.8347790169352,6.6077776301469795,15.092860767644984,0.5,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.8363250539011498,1.0,Hartford,4,0.125,0.05078125,26,New Haven,5,0.2631578947368421,0.18005540166204984,7,1.2905239515610794,-0.38536354667405165,-0.5784505252305222,-1.2164578041012775,-0.8945380208936955,-0.6865966868886731,-1.129350976924972,-1.203579614309664,1.3194943137753872,4.865577394764256,-0.49423257591305114,-0.16893277587854058,-0.2709503187711009,0.042371030470314756
2015,DC,11,District of Columbia,4,675400,0.5922,5.9224,1,1.4806,2,2.9612,1,1.4806,0,0.0,4,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,South,0,-4.5,61,11072.131147540984,9.312186522760292,13.423060386933605,0.5,0.25,0.25,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.441812259401836,0.0,Washington,30,1.0,1.0,1,Washington,19,1.0,1.0,1,3.071718940727872,-0.38536354667405165,2.3162127199850167,0.2819600297019277,-0.8945380208936955,-0.6865966868886731,0.8250811308290342,-1.203579614309664,1.3194943137753872,-0.8021844004101795,5.334145588846018,3.7537308167306427,6.46546337299703,4.823820157974091
2015,DE,10,Delaware,3,941252,0.3187,3.1872,0,0.0,2,2.1248,1,1.0624,1,1.0624,3,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,South,0,-4.5,1949,482.9409953822473,6.179894483420419,13.75496618292798,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.187244223651052,0.0,Wilmington,7,0.3333333333333333,0.15192743764172334,13,New Castle,8,0.6153846153846154,0.4792899408284024,3,1.008708831451118,0.387329891084669,-0.5784505252305222,0.7814326409696626,0.8049826234952826,-0.6865966868886731,0.14501546683433755,-1.203579614309664,1.3194943137753872,-0.8021844004101795,0.893476510934346,1.7061866337753002,0.44686373968471194,1.7873361526458498
2015,FL,12,Florida,61,20209042,0.3018,3.0185,8,0.3959,38,1.8803,11,0.5443,2,0.099,61,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv,South,0,-4.5,53625,376.8585920745921,5.931870029749861,16.821640685980178,0.6229508196721312,0.13114754098360656,0.18032786885245902,0.03278688524590164,0.0,42.0,63.0,4.0,0.5409836065573771,0.4426229508196721,0.0,0.0,0.01639344262295082,2.0782776343381344,0.06349206349206349,Jacksonville,53,0.07969924812030076,0.01871219401888179,248,Miami-Dade,49,0.13687150837988826,0.05311944071658188,53,0.8453533879471844,0.18465620249221792,0.9400613411120557,-0.135631825620277,-0.7273720558718287,-0.6865966868886731,-0.4561237925902803,0.9499874733430134,-0.6001544386470992,-0.4423265086530725,-0.7959810480305454,-0.8412328608847833,-0.4985379299442719,-0.6978470780968257
