year,state_abbr,state_fips,state_name,fatal_shootings,population,fatal_shootings_per_100k,fatal_shootings_per_1m,unarmed_count,unarmed_per_1m,armed_with_gun_count,armed_with_gun_per_1m,mental_illness_related_count,mental_illness_related_per_1m,body_camera_count,body_camera_per_1m,race_known_count,race_missing_count,population_source_vintage,population_source_url
2015,AK,02,Alaska,4,737498,0.5424,5.4237,0,0.0,3,4.0678,0,0.0,0,0.0,4,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,AL,01,Alabama,17,4852347,0.3503,3.5035,1,0.2061,12,2.473,8,1.6487,3,0.6183,17,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,AR,05,Arkansas,5,2978048,0.1679,1.679,1,0.3358,2,0.6716,1,0.3358,0,0.0,5,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,AZ,04,Arizona,42,6829676,0.615,6.1496,3,0.4393,25,3.6605,12,1.757,2,0.2928,42,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,CA,06,California,190,38918045,0.4882,4.8821,23,0.591,74,1.9014,53,1.3618,21,0.5396,186,4,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,CO,08,Colorado,29,5450623,0.532,5.3205,1,0.1835,19,3.4858,5,0.9173,1,0.1835,28,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,CT,09,Connecticut,2,3587122,0.0558,0.5576,0,0.0,1,0.2788,0,0.0,0,0.0,2,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,DC,11,District of Columbia,4,675400,0.5922,5.9224,1,1.4806,2,2.9612,1,1.4806,0,0.0,4,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,DE,10,Delaware,3,941252,0.3187,3.1872,0,0.0,2,2.1248,1,1.0624,1,1.0624,3,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,FL,12,Florida,61,20209042,0.3018,3.0185,8,0.3959,38,1.8803,11,0.5443,2,0.099,61,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,GA,13,Georgia,29,10178447,0.2849,2.8492,3,0.2947,19,1.8667,7,0.6877,3,0.2947,27,2,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,HI,15,Hawaii,2,1422052,0.1406,1.4064,0,0.0,2,1.4064,0,0.0,0,0.0,2,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,IA,19,Iowa,5,3120960,0.1602,1.6021,2,0.6408,3,0.9612,1,0.3204,1,0.3204,5,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,ID,16,Idaho,7,1651059,0.424,4.2397,0,0.0,7,4.2397,0,0.0,3,1.817,7,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,IL,17,Illinois,21,12858913,0.1633,1.6331,2,0.1555,15,1.1665,6,0.4666,1,0.0778,21,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,IN,18,Indiana,19,6608422,0.2875,2.8751,3,0.454,10,1.5132,6,0.9079,1,0.1513,18,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,KS,20,Kansas,9,2909011,0.3094,3.0938,1,0.3438,6,2.0626,0,0.0,0,0.0,9,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,KY,21,Kentucky,16,4425976,0.3615,3.615,0,0.0,10,2.2594,2,0.4519,1,0.2259,15,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,LA,22,Louisiana,27,4664628,0.5788,5.7882,2,0.4288,15,3.2157,8,1.715,4,0.8575,26,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MA,25,Massachusetts,9,6794228,0.1325,1.3247,0,0.0,2,0.2944,3,0.4416,0,0.0,9,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MD,24,Maryland,15,5985562,0.2506,2.506,3,0.5012,3,0.5012,6,1.0024,0,0.0,15,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,ME,23,Maine,2,1328262,0.1506,1.5057,0,0.0,2,1.5057,1,0.7529,0,0.0,2,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MI,26,Michigan,16,9931715,0.1611,1.611,2,0.2014,10,1.0069,6,0.6041,1,0.1007,16,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MN,27,Minnesota,12,5482032,0.2189,2.189,3,0.5472,5,0.9121,5,0.9121,0,0.0,12,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MO,29,Missouri,21,6071732,0.3459,3.4587,2,0.3294,13,2.1411,3,0.4941,2,0.3294,21,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MS,28,Mississippi,8,2988471,0.2677,2.677,1,0.3346,3,1.0039,0,0.0,1,0.3346,8,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MT,30,Montana,4,1030475,0.3882,3.8817,0,0.0,2,1.9409,0,0.0,0,0.0,4,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,NC,37,North Carolina,23,10031646,0.2293,2.2927,0,0.0,15,1.4953,6,0.5981,1,0.0997,23,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,ND,38,North Dakota,1,754066,0.1326,1.3261,0,0.0,1,1.3261,0,0.0,0,0.0,1,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,NE,31,Nebraska,8,1891277,0.423,4.2299,1,0.5287,5,2.6437,1,0.5287,0,0.0,8,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,NH,33,New Hampshire,3,1336350,0.2245,2.2449,0,0.0,1,0.7483,3,2.2449,1,0.7483,3,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,NJ,34,New Jersey,15,8867949,0.1691,1.6915,0,0.0,5,0.5638,5,0.5638,0,0.0,14,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,NM,35,New Mexico,20,2089291,0.9573,9.5726,1,0.4786,16,7.6581,3,1.4359,3,1.4359,20,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,NV,32,Nevada,19,2866939,0.6627,6.6273,1,0.3488,14,4.8833,6,2.0928,4,1.3952,17,2,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,NY,36,New York,19,19654666,0.0967,0.9667,3,0.1526,12,0.6105,6,0.3053,0,0.0,19,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,OH,39,Ohio,29,11617527,0.2496,2.4962,5,0.4304,19,1.6355,7,0.6025,2,0.1722,28,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,OK,40,Oklahoma,32,3909500,0.8185,8.1852,4,1.0231,20,5.1157,7,1.7905,3,0.7674,32,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,OR,41,Oregon,15,4015792,0.3735,3.7353,0,0.0,10,2.4902,7,1.7431,0,0.0,14,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,PA,42,Pennsylvania,18,12784826,0.1408,1.4079,2,0.1564,10,0.7822,5,0.3911,0,0.0,17,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,RI,44,Rhode Island,0,1056065,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,SC,45,South Carolina,19,4891938,0.3884,3.8839,1,0.2044,12,2.453,2,0.4088,0,0.0,19,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,SD,46,South Dakota,3,853988,0.3513,3.5129,0,0.0,2,2.342,2,2.342,0,0.0,3,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,TN,47,Tennessee,20,6591170,0.3034,3.0344,1,0.1517,11,1.6689,6,0.9103,0,0.0,19,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,TX,48,Texas,101,27470056,0.3677,3.6767,6,0.2184,64,2.3298,25,0.9101,3,0.1092,101,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,UT,49,Utah,10,2981835,0.3354,3.3536,0,0.0,6,2.0122,5,1.6768,5,1.6768,10,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,VA,51,Virginia,17,8361808,0.2033,2.0331,3,0.3588,11,1.3155,4,0.4784,4,0.4784,17,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,VT,50,Vermont,1,625216,0.1599,1.5994,0,0.0,1,1.5994,0,0.0,1,1.5994,1,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,WA,53,Washington,16,7163657,0.2233,2.2335,3,0.4188,10,1.3959,9,1.2563,0,0.0,16,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,WI,55,Wisconsin,11,5760940,0.1909,1.9094,1,0.1736,6,1.0415,4,0.6943,0,0.0,11,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,WV,54,West Virginia,10,1842050,0.5429,5.4287,0,0.0,7,3.8001,1,0.5429,0,0.0,8,2,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,WY,56,Wyoming,6,585613,1.0246,10.2457,0,0.0,2,3.4152,1,1.7076,0,0.0,6,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,AK,02,Alaska,8,741456,1.079,10.7896,0,0.0,5,6.7435,3,4.0461,1,1.3487,8,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,AL,01,Alabama,24,4863525,0.4935,4.9347,0,0.0,15,3.0842,2,0.4112,8,1.6449,22,2,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,AR,05,Arkansas,15,2989918,0.5017,5.0169,0,0.0,9,3.0101,3,1.0034,1,0.3345,12,3,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,AZ,04,Arizona,49,6941072,0.7059,7.0594,4,0.5763,23,3.3136,15,2.161,12,1.7288,47,2,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,CA,06,California,139,39167117,0.3549,3.5489,15,0.383,49,1.251,33,0.8425,23,0.5872,131,8,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,CO,08,Colorado,31,5539215,0.5596,5.5965,1,0.1805,22,3.9717,5,0.9027,5,0.9027,28,3,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,CT,09,Connecticut,3,3578141,0.0838,0.8384,0,0.0,0,0.0,2,0.5589,0,0.0,3,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,DC,11,District of Columbia,5,685815,0.7291,7.2906,0,0.0,1,1.4581,1,1.4581,2,2.9162,5,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,DE,10,Delaware,1,948921,0.1054,1.0538,0,0.0,0,0.0,0,0.0,0,0.0,1,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,FL,12,Florida,60,20613477,0.2911,2.9107,3,0.1455,30,1.4554,21,1.0188,3,0.1455,56,4,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,GA,13,Georgia,27,10301890,0.2621,2.6209,3,0.2912,18,1.7473,6,0.5824,3,0.2912,27,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,HI,15,Hawaii,6,1427559,0.4203,4.203,0,0.0,2,1.401,1,0.7005,0,0.0,6,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,IA,19,Iowa,5,3131371,0.1597,1.5967,0,0.0,2,0.6387,1,0.3193,1,0.3193,5,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,ID,16,Idaho,6,1682380,0.3566,3.5664,0,0.0,5,2.972,2,1.1888,2,1.1888,6,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
